atom1_id,atom2_id,type,bond_id
d100_1,d100_2,7,0
d100_1,d100_7,1,1
d100_11,d100_12,7,2
d100_12,d100_13,7,3
d100_12,d100_17,1,4
d100_13,d100_14,7,5
d100_13,d100_18,1,6
d100_14,d100_15,7,7
d100_14,d100_19,1,8
d100_15,d100_16,7,9
d100_15,d100_21,1,10
d100_16,d100_11,7,11
d100_16,d100_20,1,12
d100_2,d100_3,7,13
d100_2,d100_8,1,14
d100_21,d100_25,1,15
d100_21,d100_26,1,16
d100_22,d100_23,2,17
d100_22,d100_24,2,18
d100_3,d100_4,7,19
d100_3,d100_9,1,20
d100_4,d100_11,1,21
d100_4,d100_5,7,22
d100_5,d100_10,1,23
d100_5,d100_6,7,24
d100_6,d100_1,7,25
d100_6,d100_22,1,26
d101_1,d101_2,7,27
d101_1,d101_24,1,28
d101_10,d101_11,7,29
d101_10,d101_4,7,30
d101_11,d101_12,7,31
d101_12,d101_13,7,32
d101_12,d101_17,1,33
d101_13,d101_5,7,34
d101_14,d101_15,7,35
d101_14,d101_21,1,36
d101_15,d101_16,7,37
d101_15,d101_29,1,38
d101_16,d101_11,7,39
d101_16,d101_30,1,40
d101_17,d101_18,1,41
d101_17,d101_35,1,42
d101_17,d101_36,1,43
d101_18,d101_19,1,44
d101_18,d101_37,1,45
d101_18,d101_38,1,46
d101_19,d101_20,1,47
d101_19,d101_33,1,48
d101_19,d101_34,1,49
d101_2,d101_25,1,50
d101_2,d101_3,7,51
d101_20,d101_13,1,52
d101_20,d101_31,1,53
d101_20,d101_32,1,54
d101_21,d101_22,2,55
d101_21,d101_23,2,56
d101_3,d101_4,7,57
d101_3,d101_7,7,58
d101_4,d101_5,7,59
d101_5,d101_6,7,60
d101_6,d101_1,7,61
d101_6,d101_26,1,62
d101_7,d101_27,1,63
d101_7,d101_8,7,64
d101_8,d101_28,1,65
d101_8,d101_9,7,66
d101_9,d101_10,7,67
d101_9,d101_14,7,68
d102_1,d102_2,7,69
d102_1,d102_22,1,70
d102_10,d102_11,7,71
d102_10,d102_15,1,72
d102_11,d102_12,7,73
d102_11,d102_19,1,74
d102_12,d102_13,7,75
d102_12,d102_16,1,76
d102_13,d102_14,7,77
d102_13,d102_20,1,78
d102_14,d102_9,7,79
d102_17,d102_18,2,80
d102_17,d102_9,1,81
d102_19,d102_29,2,82
d102_19,d102_30,2,83
d102_2,d102_3,7,84
d102_2,d102_7,1,85
d102_20,d102_27,2,86
d102_20,d102_28,2,87
d102_21,d102_25,2,88
d102_21,d102_26,2,89
d102_22,d102_23,2,90
d102_22,d102_24,2,91
d102_3,d102_17,1,92
d102_3,d102_4,7,93
d102_4,d102_14,1,94
d102_4,d102_5,7,95
d102_5,d102_21,1,96
d102_5,d102_6,7,97
d102_6,d102_1,7,98
d102_6,d102_8,1,99
d102_9,d102_10,7,100
d103_1,d103_2,7,101
d103_1,d103_7,1,102
d103_10,d103_11,7,103
d103_10,d103_14,1,104
d103_11,d103_12,7,105
d103_11,d103_15,1,106
d103_12,d103_13,7,107
d103_12,d103_21,7,108
d103_13,d103_16,7,109
d103_13,d103_4,7,110
d103_16,d103_17,7,111
d103_17,d103_18,7,112
d103_17,d103_19,1,113
d103_18,d103_20,1,114
d103_18,d103_5,7,115
d103_2,d103_3,7,116
d103_2,d103_8,1,117
d103_21,d103_22,7,118
d103_21,d103_24,1,119
d103_22,d103_23,7,120
d103_22,d103_26,1,121
d103_23,d103_16,7,122
d103_23,d103_25,1,123
d103_26,d103_27,2,124
d103_26,d103_28,2,125
d103_3,d103_10,7,126
d103_3,d103_4,7,127
d103_4,d103_5,7,128
d103_5,d103_6,7,129
d103_6,d103_1,7,130
d103_6,d103_9,1,131
d104_1,d104_2,7,132
d104_1,d104_24,1,133
d104_10,d104_11,7,134
d104_10,d104_4,7,135
d104_11,d104_12,7,136
d104_12,d104_13,7,137
d104_12,d104_17,1,138
d104_13,d104_5,7,139
d104_14,d104_15,7,140
d104_14,d104_29,1,141
d104_15,d104_16,7,142
d104_15,d104_30,1,143
d104_16,d104_11,7,144
d104_16,d104_21,1,145
d104_17,d104_18,1,146
d104_17,d104_35,1,147
d104_17,d104_36,1,148
d104_18,d104_19,1,149
d104_18,d104_37,1,150
d104_18,d104_38,1,151
d104_19,d104_20,1,152
d104_19,d104_33,1,153
d104_19,d104_34,1,154
d104_2,d104_25,1,155
d104_2,d104_3,7,156
d104_20,d104_13,1,157
d104_20,d104_31,1,158
d104_20,d104_32,1,159
d104_21,d104_22,2,160
d104_21,d104_23,2,161
d104_3,d104_4,7,162
d104_3,d104_7,7,163
d104_4,d104_5,7,164
d104_5,d104_6,7,165
d104_6,d104_1,7,166
d104_6,d104_26,1,167
d104_7,d104_27,1,168
d104_7,d104_8,7,169
d104_8,d104_28,1,170
d104_8,d104_9,7,171
d104_9,d104_10,7,172
d104_9,d104_14,7,173
d105_1,d105_2,7,174
d105_1,d105_7,1,175
d105_10,d105_11,7,176
d105_10,d105_15,7,177
d105_11,d105_12,7,178
d105_12,d105_13,7,179
d105_13,d105_14,1,180
d105_13,d105_5,7,181
d105_15,d105_16,7,182
d105_15,d105_19,1,183
d105_16,d105_17,7,184
d105_16,d105_20,1,185
d105_17,d105_18,7,186
d105_17,d105_21,1,187
d105_18,d105_11,7,188
d105_2,d105_3,7,189
d105_2,d105_8,1,190
d105_22,d105_23,2,191
d105_22,d105_24,2,192
d105_3,d105_22,1,193
d105_3,d105_4,7,194
d105_4,d105_10,7,195
d105_4,d105_5,7,196
d105_5,d105_6,7,197
d105_6,d105_1,7,198
d105_6,d105_9,1,199
d106_1,d106_2,7,200
d106_1,d106_7,1,201
d106_10,d106_11,7,202
d106_10,d106_14,1,203
d106_11,d106_12,7,204
d106_11,d106_15,1,205
d106_12,d106_13,7,206
d106_12,d106_20,7,207
d106_13,d106_16,7,208
d106_13,d106_4,7,209
d106_16,d106_17,7,210
d106_17,d106_18,7,211
d106_17,d106_26,1,212
d106_18,d106_19,1,213
d106_18,d106_5,7,214
d106_2,d106_3,7,215
d106_2,d106_8,1,216
d106_20,d106_21,7,217
d106_20,d106_23,1,218
d106_21,d106_22,7,219
d106_21,d106_24,1,220
d106_22,d106_16,7,221
d106_22,d106_25,1,222
d106_25,d106_27,2,223
d106_25,d106_28,2,224
d106_26,d106_29,1,225
d106_3,d106_10,7,226
d106_3,d106_4,7,227
d106_4,d106_5,7,228
d106_5,d106_6,7,229
d106_6,d106_1,7,230
d106_6,d106_9,1,231
d107_1,d107_2,7,232
d107_1,d107_26,1,233
d107_10,d107_11,7,234
d107_10,d107_24,1,235
d107_11,d107_12,7,236
d107_11,d107_13,1,237
d107_12,d107_4,7,238
d107_14,d107_15,7,239
d107_14,d107_5,1,240
d107_15,d107_12,1,241
d107_15,d107_16,7,242
d107_16,d107_17,7,243
d107_16,d107_20,1,244
d107_17,d107_18,7,245
d107_17,d107_21,1,246
d107_18,d107_19,7,247
d107_18,d107_22,1,248
d107_19,d107_14,7,249
d107_19,d107_23,1,250
d107_2,d107_3,7,251
d107_2,d107_7,1,252
d107_24,d107_31,2,253
d107_24,d107_32,2,254
d107_25,d107_29,2,255
d107_25,d107_30,2,256
d107_26,d107_27,2,257
d107_26,d107_28,2,258
d107_3,d107_4,7,259
d107_3,d107_9,7,260
d107_4,d107_5,7,261
d107_5,d107_6,7,262
d107_6,d107_1,7,263
d107_6,d107_8,1,264
d107_9,d107_10,7,265
d107_9,d107_25,1,266
d108_1,d108_2,7,267
d108_1,d108_27,1,268
d108_10,d108_11,7,269
d108_10,d108_28,1,270
d108_11,d108_12,7,271
d108_11,d108_13,1,272
d108_12,d108_4,7,273
d108_14,d108_15,7,274
d108_14,d108_5,1,275
d108_15,d108_12,1,276
d108_15,d108_16,7,277
d108_16,d108_17,7,278
d108_16,d108_20,1,279
d108_17,d108_18,7,280
d108_17,d108_21,1,281
d108_18,d108_19,7,282
d108_18,d108_22,1,283
d108_19,d108_14,7,284
d108_19,d108_23,1,285
d108_2,d108_3,7,286
d108_2,d108_7,1,287
d108_24,d108_25,2,288
d108_24,d108_26,2,289
d108_3,d108_4,7,290
d108_3,d108_9,7,291
d108_4,d108_5,7,292
d108_5,d108_6,7,293
d108_6,d108_1,7,294
d108_6,d108_8,1,295
d108_9,d108_10,7,296
d108_9,d108_24,1,297
d109_1,d109_2,7,298
d109_1,d109_24,1,299
d109_10,d109_15,7,300
d109_10,d109_5,7,301
d109_11,d109_12,7,302
d109_12,d109_13,7,303
d109_12,d109_31,1,304
d109_13,d109_14,7,305
d109_13,d109_32,1,306
d109_14,d109_18,7,307
d109_14,d109_9,7,308
d109_15,d109_16,7,309
d109_16,d109_17,7,310
d109_16,d109_33,1,311
d109_17,d109_34,1,312
d109_17,d109_6,7,313
d109_18,d109_19,7,314
d109_18,d109_35,1,315
d109_19,d109_15,7,316
d109_19,d109_36,1,317
d109_2,d109_29,1,318
d109_2,d109_3,7,319
d109_20,d109_21,7,320
d109_20,d109_37,1,321
d109_21,d109_22,7,322
d109_21,d109_38,1,323
d109_22,d109_11,7,324
d109_22,d109_23,1,325
d109_23,d109_25,2,326
d109_23,d109_26,2,327
d109_24,d109_27,2,328
d109_24,d109_28,2,329
d109_3,d109_30,1,330
d109_3,d109_4,7,331
d109_4,d109_5,7,332
d109_4,d109_7,1,333
d109_5,d109_6,7,334
d109_6,d109_1,7,335
d109_7,d109_20,7,336
d109_7,d109_8,7,337
d109_8,d109_11,7,338
d109_8,d109_9,7,339
d109_9,d109_10,7,340
d10_1,d10_14,1,341
d10_1,d10_2,7,342
d10_10,d10_11,7,343
d10_10,d10_22,1,344
d10_11,d10_12,7,345
d10_11,d10_23,1,346
d10_12,d10_7,7,347
d10_13,d10_27,1,348
d10_13,d10_28,1,349
d10_13,d10_7,1,350
d10_14,d10_15,2,351
d10_14,d10_16,2,352
d10_17,d10_24,1,353
d10_17,d10_25,1,354
d10_17,d10_26,1,355
d10_2,d10_18,1,356
d10_2,d10_3,7,357
d10_3,d10_13,1,358
d10_3,d10_4,7,359
d10_4,d10_12,1,360
d10_4,d10_5,7,361
d10_5,d10_19,1,362
d10_5,d10_6,7,363
d10_6,d10_1,7,364
d10_6,d10_20,1,365
d10_7,d10_8,7,366
d10_8,d10_21,1,367
