CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store
1270.0,9.0,2008.0,0.0,0.0,c,a,0,,1
570.0,11.0,2007.0,13.0,2010.0,a,a,1,"Jan,Apr,Jul,Oct",2
14130.0,12.0,2006.0,14.0,2011.0,a,a,1,"Jan,Apr,Jul,Oct",3
620.0,9.0,2009.0,0.0,0.0,c,c,0,,4
29910.0,4.0,2015.0,0.0,0.0,a,a,0,,5
310.0,12.0,2013.0,0.0,0.0,a,a,0,,6
24000.0,4.0,2013.0,0.0,0.0,a,c,0,,7
7520.0,10.0,2014.0,0.0,0.0,a,a,0,,8
2030.0,8.0,2000.0,0.0,0.0,a,c,0,,9
3160.0,9.0,2009.0,0.0,0.0,a,a,0,,10
960.0,11.0,2011.0,1.0,2012.0,a,c,1,"Jan,Apr,Jul,Oct",11
1070.0,0.0,0.0,13.0,2010.0,a,c,1,"Jan,Apr,Jul,Oct",12
310.0,0.0,0.0,45.0,2009.0,d,a,1,"Feb,May,Aug,Nov",13
1300.0,3.0,2014.0,40.0,2011.0,a,a,1,"Jan,Apr,Jul,Oct",14
4110.0,3.0,2010.0,14.0,2011.0,d,c,1,"Jan,Apr,Jul,Oct",15
3270.0,0.0,0.0,0.0,0.0,a,c,0,,16
50.0,12.0,2005.0,26.0,2010.0,a,a,1,"Jan,Apr,Jul,Oct",17
13840.0,6.0,2010.0,14.0,2012.0,d,c,1,"Jan,Apr,Jul,Oct",18
3240.0,0.0,0.0,22.0,2011.0,a,c,1,"Mar,Jun,Sept,Dec",19
2340.0,5.0,2009.0,40.0,2014.0,d,a,1,"Jan,Apr,Jul,Oct",20
550.0,10.0,1999.0,45.0,2009.0,c,c,1,"Jan,Apr,Jul,Oct",21
1040.0,0.0,0.0,22.0,2012.0,a,a,1,"Jan,Apr,Jul,Oct",22
4060.0,8.0,2005.0,0.0,0.0,d,a,0,,23
4590.0,3.0,2000.0,40.0,2011.0,a,c,1,"Jan,Apr,Jul,Oct",24
430.0,4.0,2003.0,0.0,0.0,c,a,0,,25
2300.0,0.0,0.0,0.0,0.0,d,a,0,,26
60.0,1.0,2005.0,5.0,2011.0,a,a,1,"Jan,Apr,Jul,Oct",27
1200.0,10.0,2014.0,6.0,2015.0,a,a,1,"Mar,Jun,Sept,Dec",28
2170.0,0.0,0.0,0.0,0.0,d,c,0,,29
40.0,2.0,2014.0,10.0,2014.0,a,a,1,"Mar,Jun,Sept,Dec",30
9800.0,7.0,2012.0,0.0,0.0,d,c,0,,31
2910.0,0.0,0.0,45.0,2009.0,a,a,1,"Feb,May,Aug,Nov",32
1320.0,5.0,2013.0,0.0,0.0,a,c,0,,33
2240.0,9.0,2009.0,0.0,0.0,c,a,0,,34
7660.0,10.0,2000.0,1.0,2012.0,d,c,1,"Jan,Apr,Jul,Oct",35
540.0,6.0,2003.0,40.0,2014.0,a,c,1,"Jan,Apr,Jul,Oct",36
4230.0,12.0,2014.0,0.0,0.0,c,a,0,,37
1090.0,4.0,2007.0,0.0,0.0,d,a,0,,38
260.0,10.0,2006.0,31.0,2013.0,a,a,1,"Feb,May,Aug,Nov",39
