CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store
3530,10.0,2014,14,2011.0,a,a,1,"Jan,Apr,Jul,Oct",1
30,0.0,0,0,0.0,a,a,0,,2
4370,0.0,0,0,0.0,d,c,0,,3
2090,9.0,2009,0,0.0,a,a,0,,4
1040,0.0,0,14,2011.0,d,a,1,"Mar,Jun,Sept,Dec",5
4110,4.0,2014,18,2010.0,d,c,1,"Feb,May,Aug,Nov",6
340,12.0,2002,5,2013.0,a,a,1,"Feb,May,Aug,Nov",7
1870,0.0,0,5,2013.0,d,c,1,"Jan,Apr,Jul,Oct",8
220,0.0,0,40,2012.0,a,a,1,"Mar,Jun,Sept,Dec",9
3120,3.0,2011,0,0.0,a,a,0,,10
7170,0.0,0,14,2011.0,d,a,1,"Jan,Apr,Jul,Oct",11
1230,0.0,0,0,0.0,d,a,0,,12
40,8.0,2007,14,2011.0,a,a,1,"Jan,Apr,Jul,Oct",13
240,9.0,2012,0,0.0,a,a,0,,14
330,0.0,0,0,0.0,d,c,0,,15
1580,7.0,2012,9,2011.0,d,c,1,"Jan,Apr,Jul,Oct",16
40510,0.0,0,0,0.0,a,a,0,,17
3500,0.0,0,40,2013.0,a,a,1,"Mar,Jun,Sept,Dec",18
3860,0.0,0,22,0.0,a,c,0,,19
820,9.0,2012,31,2012.0,d,a,1,"Jan,Apr,Jul,Oct",20
2250,0.0,0,22,2011.0,d,c,1,"Mar,Jun,Sept,Dec",21
3300,0.0,0,37,2010.0,c,a,1,"Mar,Jun,Sept,Dec",22
4060,0.0,0,0,0.0,d,a,0,,23
31930,7.0,2014,0,0.0,d,c,0,,24
2300,9.0,2013,14,2011.0,d,a,1,"Jan,Apr,Jul,Oct",25
19490,4.0,2013,31,2013.0,a,c,1,"Feb,May,Aug,Nov",26
900,0.0,0,0,0.0,a,c,0,,27
180,0.0,0,13,2010.0,a,a,1,"Jan,Apr,Jul,Oct",28
4460,9.0,2012,40,2014.0,a,a,1,"Jan,Apr,Jul,Oct",29
280,7.0,2007,0,0.0,c,a,0,,30
9580,0.0,0,0,0.0,d,a,0,,31
330,0.0,0,45,2009.0,a,a,1,"Feb,May,Aug,Nov",32
1520,11.0,2015,31,2013.0,a,a,1,"Mar,Jun,Sept,Dec",33
5360,0.0,0,22,2011.0,d,c,1,"Jan,Apr,Jul,Oct",34
1750,0.0,0,0,0.0,a,c,0,,35
18110,9.0,2012,0,0.0,d,a,0,,36
3600,4.0,2013,10,2013.0,a,c,1,"Jan,Apr,Jul,Oct",37
7060,4.0,2002,14,2011.0,d,a,1,"Jan,Apr,Jul,Oct",38
350,11.0,2014,32,2013.0,a,a,1,"Feb,May,Aug,Nov",39
