element,type,charge,molecule_id,atom_id,node_type
h,3,0.132,0,0,atom
h,3,0.146,0,1,atom
h,3,0.134,0,2,atom
c,22,-0.124,0,3,atom
c,27,-0.084,0,4,atom
c,22,-0.122,0,5,atom
c,22,-0.084,0,6,atom
c,22,0.011,0,7,atom
o,40,-0.386,0,8,atom
c,27,0.017,0,9,atom
h,3,0.149,0,10,atom
c,22,-0.113,0,11,atom
c,22,-0.104,0,12,atom
c,22,0.832,0,13,atom
h,3,0.066,0,14,atom
c,22,-0.114,0,15,atom
o,40,-0.382,0,16,atom
n,38,0.806,0,17,atom
h,3,0.134,0,18,atom
c,22,-0.115,0,19,atom
h,3,0.152,0,20,atom
h,3,0.142,0,21,atom
c,22,-0.126,0,22,atom
h,3,-0.132,0,23,atom
h,3,-0.142,1,24,atom
c,22,-0.115,1,25,atom
h,3,0.146,1,26,atom
c,22,0.009,1,27,atom
c,22,-0.113,1,28,atom
n,38,0.056,1,29,atom
o,40,0.015,1,30,atom
h,3,0.315,1,31,atom
h,3,0.047,1,32,atom
c,22,-0.111,1,33,atom
h,3,0.073,1,34,atom
c,22,-0.126,1,35,atom
h,3,0.328,1,36,atom
c,22,-0.118,1,37,atom
o,40,-0.381,1,38,atom
c,22,-0.118,1,39,atom
o,40,-0.107,1,40,atom
h,3,-0.109,1,41,atom
h,3,0.139,1,42,atom
h,3,0.127,1,43,atom
f,92,-0.089,1,44,atom
c,10,-0.389,1,45,atom
o,50,-0.092,1,46,atom
h,3,0.147,1,47,atom
h,3,0.058,1,48,atom
h,3,0.132,1,49,atom
o,40,-0.384,1,50,atom
c,22,-0.116,1,51,atom
c,22,-0.142,1,52,atom
o,40,-0.384,1,53,atom
c,22,-0.118,2,54,atom
c,22,-0.148,2,55,atom
c,22,-0.113,2,56,atom
h,3,0.057,2,57,atom
c,22,-0.123,2,58,atom
h,3,0.143,2,59,atom
c,22,0.005,2,60,atom
o,40,0.805,2,61,atom
c,22,-0.122,2,62,atom
h,3,0.176,2,63,atom
o,40,0.015,2,64,atom
c,10,-0.404,2,65,atom
c,28,0.188,2,66,atom
h,3,-0.12,2,67,atom
c,27,0.015,2,68,atom
h,3,0.132,2,69,atom
c,22,-0.111,2,70,atom
h,3,-0.12,2,71,atom
h,8,0.187,2,72,atom
c,22,-0.122,2,73,atom
h,3,0.138,2,74,atom
h,3,0.059,2,75,atom
c,22,-0.084,2,76,atom
h,3,0.155,2,77,atom
h,3,0.146,2,78,atom
h,3,0.142,2,79,atom
h,3,0.135,3,80,atom
o,40,0.005,3,81,atom
c,14,-0.083,3,82,atom
c,27,-0.088,3,83,atom
h,3,0.139,3,84,atom
n,38,0.126,3,85,atom
h,3,0.109,3,86,atom
h,3,0.142,3,87,atom
n,38,-0.085,3,88,atom
c,27,0.015,3,89,atom
o,40,-0.386,3,90,atom
h,3,0.146,3,91,atom
h,1,0.129,3,92,atom
c,22,-0.114,3,93,atom
c,22,-0.118,3,94,atom
h,3,0.108,3,95,atom
o,40,-0.363,3,96,atom
c,29,-0.091,3,97,atom
c,22,-0.148,3,98,atom
c,22,-0.142,3,99,atom
c,22,-0.117,3,100,atom
h,3,0.147,3,101,atom
h,3,0.147,3,102,atom
c,22,-0.12,3,103,atom
h,3,0.127,3,104,atom
c,27,0.007,3,105,atom
c,22,-0.113,3,106,atom
c,22,-0.122,3,107,atom
h,3,0.163,3,108,atom
h,3,0.126,4,109,atom
h,3,0.125,4,110,atom
h,3,0.176,4,111,atom
h,3,0.062,4,112,atom
c,22,-0.08,4,113,atom
h,3,0.132,4,114,atom
h,3,0.059,4,115,atom
n,32,0.009,4,116,atom
c,28,0.012,4,117,atom
h,3,0.142,4,118,atom
n,38,0.136,4,119,atom
c,22,-0.092,4,120,atom
n,38,0.059,4,121,atom
h,3,0.127,4,122,atom
o,50,-0.388,4,123,atom
n,35,-0.137,4,124,atom
h,3,-0.116,4,125,atom
o,40,-0.382,4,126,atom
c,22,0.202,4,127,atom
c,28,-0.088,4,128,atom
c,22,0.004,4,129,atom
h,3,0.132,4,130,atom
c,27,-0.142,4,131,atom
c,22,-0.116,4,132,atom
o,40,-0.395,5,133,atom
o,40,-0.39,5,134,atom
c,27,-0.148,5,135,atom
h,3,0.146,5,136,atom
h,3,0.146,5,137,atom
h,3,0.059,5,138,atom
h,3,0.069,5,139,atom
h,3,0.134,5,140,atom
h,1,0.134,5,141,atom
h,3,0.145,5,142,atom
c,22,-0.125,5,143,atom
h,3,0.15,5,144,atom
c,22,-0.122,5,145,atom
c,10,-0.081,5,146,atom
o,40,-0.395,5,147,atom
h,3,0.062,5,148,atom
o,40,-0.391,5,149,atom
c,22,-0.122,5,150,atom
c,22,-0.118,5,151,atom
c,29,0.002,5,152,atom
h,3,0.282,5,153,atom
c,22,0.062,5,154,atom
h,3,0.154,5,155,atom
c,22,-0.114,5,156,atom
h,3,0.149,5,157,atom
c,14,-0.148,5,158,atom
h,3,0.132,5,159,atom
c,22,-0.119,5,160,atom
c,21,0.009,6,161,atom
c,22,-0.123,6,162,atom
h,3,0.153,6,163,atom
h,3,0.136,6,164,atom
h,3,0.147,6,165,atom
c,22,-0.141,6,166,atom
h,3,0.142,6,167,atom
o,40,-0.381,6,168,atom
c,27,0.005,6,169,atom
c,22,-0.109,6,170,atom
h,3,0.142,6,171,atom
c,22,-0.114,6,172,atom
h,3,0.154,6,173,atom
h,3,0.056,6,174,atom
c,22,-0.113,6,175,atom
o,40,-0.386,6,176,atom
c,22,0.057,6,177,atom
c,22,-0.114,6,178,atom
c,22,-0.097,6,179,atom
c,27,-0.088,6,180,atom
h,3,0.145,6,181,atom
c,27,0.015,6,182,atom
c,22,-0.118,6,183,atom
c,22,-0.107,6,184,atom
h,3,0.152,6,185,atom
h,3,0.146,6,186,atom
c,27,-0.088,6,187,atom
h,3,0.151,6,188,atom
c,22,-0.116,7,189,atom
c,1,-0.118,7,190,atom
h,3,0.145,7,191,atom
c,22,-0.116,7,192,atom
c,27,-0.112,7,193,atom
c,22,-0.118,7,194,atom
c,22,-0.116,7,195,atom
c,28,0.015,7,196,atom
c,22,-0.119,7,197,atom
c,22,-0.142,7,198,atom
o,40,-0.395,7,199,atom
h,3,0.142,7,200,atom
c,10,0.016,7,201,atom
c,22,-0.113,7,202,atom
c,27,-0.142,7,203,atom
h,3,0.154,7,204,atom
h,3,0.162,7,205,atom
c,22,-0.108,7,206,atom
h,3,0.145,8,207,atom
c,22,-0.112,8,208,atom
n,38,0.818,8,209,atom
c,22,-0.122,8,210,atom
c,22,0.153,8,211,atom
c,21,-0.109,8,212,atom
h,3,0.058,8,213,atom
h,3,0.134,8,214,atom
h,3,0.149,8,215,atom
c,22,0.816,8,216,atom
h,3,-0.119,8,217,atom
h,3,0.145,8,218,atom
c,22,-0.114,8,219,atom
o,40,-0.386,8,220,atom
c,22,-0.116,8,221,atom
c,22,-0.116,8,222,atom
c,22,0.149,8,223,atom
h,3,0.145,8,224,atom
h,3,0.062,8,225,atom
c,22,0.146,8,226,atom
c,22,-0.114,8,227,atom
h,3,0.062,8,228,atom
h,3,0.142,8,229,atom
c,10,-0.097,8,230,atom
c,22,-0.122,8,231,atom
h,3,0.132,8,232,atom
h,3,0.132,9,233,atom
h,1,0.112,9,234,atom
h,3,0.132,9,235,atom
h,3,-0.124,9,236,atom
o,40,-0.391,9,237,atom
o,40,-0.378,9,238,atom
c,22,-0.093,9,239,atom
h,3,-0.125,9,240,atom
o,40,-0.391,9,241,atom
c,22,0.017,9,242,atom
o,40,-0.398,9,243,atom
h,3,0.817,9,244,atom
h,3,0.133,9,245,atom
h,3,0.149,9,246,atom
c,22,-0.112,9,247,atom
h,3,0.145,9,248,atom
h,3,0.817,9,249,atom
c,22,-0.067,9,250,atom
c,27,-0.135,9,251,atom
c,22,-0.38,9,252,atom
h,3,0.148,9,253,atom
c,10,-0.083,9,254,atom
h,3,0.145,9,255,atom
h,3,0.145,9,256,atom
c,29,0.011,9,257,atom
c,22,-0.116,9,258,atom
o,40,-0.382,9,259,atom
o,40,-0.383,9,260,atom
c,29,0.002,10,261,atom
h,1,-0.13,10,262,atom
c,22,-0.13,10,263,atom
c,21,-0.389,10,264,atom
c,22,-0.114,10,265,atom
h,3,0.134,10,266,atom
n,38,-0.086,10,267,atom
h,3,0.134,10,268,atom
h,3,0.108,10,269,atom
o,40,-0.398,10,270,atom
o,40,-0.389,10,271,atom
c,22,0.148,10,272,atom
h,3,0.127,10,273,atom
c,22,-0.094,10,274,atom
c,22,-0.106,10,275,atom
o,40,-0.382,10,276,atom
h,3,0.138,10,277,atom
c,27,-0.085,10,278,atom
h,3,0.132,10,279,atom
c,27,-0.383,10,280,atom
c,22,-0.13,10,281,atom
o,40,-0.4,10,282,atom
h,3,0.146,10,283,atom
c,27,-0.076,10,284,atom
h,3,0.134,10,285,atom
c,22,-0.115,10,286,atom
c,22,-0.122,10,287,atom
h,3,0.134,10,288,atom
c,27,-0.378,10,289,atom
h,3,0.149,11,290,atom
c,27,0.007,11,291,atom
c,27,0.805,11,292,atom
c,22,0.332,11,293,atom
c,22,-0.115,11,294,atom
c,27,0.012,11,295,atom
c,22,-0.148,11,296,atom
f,92,-0.081,11,297,atom
h,1,-0.084,11,298,atom
c,22,-0.122,11,299,atom
c,28,0.144,11,300,atom
c,22,0.816,11,301,atom
c,22,-0.118,11,302,atom
c,22,-0.128,11,303,atom
h,3,0.012,11,304,atom
c,22,-0.107,11,305,atom
c,22,-0.111,12,306,atom
n,38,-0.398,12,307,atom
c,22,-0.106,12,308,atom
o,40,-0.384,12,309,atom
n,93,-0.412,12,310,atom
c,22,-0.123,12,311,atom
c,22,-0.092,12,312,atom
h,3,0.073,12,313,atom
o,40,-0.388,12,314,atom
c,22,-0.124,12,315,atom
h,3,0.062,12,316,atom
c,22,-0.122,12,317,atom
c,22,-0.126,12,318,atom
n,38,0.806,12,319,atom
h,1,0.062,12,320,atom
c,22,-0.128,12,321,atom
h,3,0.142,12,322,atom
h,3,0.163,12,323,atom
h,3,0.142,12,324,atom
c,28,0.007,12,325,atom
c,14,0.133,12,326,atom
h,3,0.129,12,327,atom
h,3,0.282,12,328,atom
c,22,-0.129,12,329,atom
o,40,-0.108,12,330,atom
