ind1,inda,logp,lumo,mutagenic,molecule_id,node_type
1,0,4.439586162567139,-2.587937831878662,yes,0,molecule
1,0,4.846255302429199,-2.153475046157837,yes,1,molecule
1,0,4.593380451202393,-1.56039297580719,yes,2,molecule
0,0,3.478330373764038,-1.113963007926941,no,3,molecule
1,0,6.342867374420166,-1.6509391069412231,yes,4,molecule
0,0,1.8599200248718262,-2.1573798656463623,yes,5,molecule
1,1,5.208054065704346,-2.1368632316589355,yes,6,molecule
0,0,2.0073583126068115,-0.6036849021911621,no,7,molecule
1,0,6.740180969238281,-1.755682110786438,yes,8,molecule
1,1,5.157350063323975,-2.0969812870025635,yes,9,molecule
0,0,1.5073431730270386,-1.5779634714126587,no,10,molecule
1,0,3.365293264389038,-1.3122529983520508,yes,11,molecule
0,0,1.7953572273254395,-0.7146373391151428,no,12,molecule
1,0,5.620247840881348,-1.6266268491744995,yes,13,molecule
1,0,3.194046974182129,-1.6158937215805054,yes,14,molecule
1,0,5.569583892822266,-1.2512359619140625,yes,15,molecule
0,0,2.1700310707092285,-1.1740388870239258,no,16,molecule
0,0,2.2872254848480225,-1.299892544746399,yes,17,molecule
0,0,2.4775407314300537,-0.81662917137146,no,18,molecule
1,0,3.9036478996276855,-1.182727336883545,yes,19,molecule
1,0,2.7981200218200684,-2.034130811691284,yes,20,molecule
1,0,2.324138641357422,-2.2881593704223633,yes,21,molecule
0,0,2.205204963684082,-1.2853292226791382,no,22,molecule
1,1,5.053115367889404,-1.9791440963745117,yes,23,molecule
0,0,3.005112886428833,-2.2945570945739746,yes,24,molecule
0,0,3.6677019596099854,-1.174946665763855,no,25,molecule
0,0,3.2389025688171387,-1.9928655624389648,no,26,molecule
0,0,2.6297833919525146,-1.1748945713043213,no,27,molecule
0,0,3.0628862380981445,-2.1853790283203125,yes,28,molecule
0,0,2.664825439453125,-1.3073872327804565,yes,29,molecule
1,0,5.134512901306152,-1.741457223892212,yes,30,molecule
1,0,4.70215368270874,-1.6731750965118408,yes,31,molecule
0,0,1.8122228384017944,-1.729440450668335,no,32,molecule
1,0,6.988275527954102,-1.8085328340530396,yes,33,molecule
0,0,1.8543298244476318,-1.9072219133377075,no,34,molecule
0,0,3.2129125595092773,-3.4409332275390625,yes,35,molecule
0,0,2.227461338043213,-1.8319611549377441,no,36,molecule
0,0,2.131664276123047,-0.5571686029434204,no,37,molecule
0,0,3.090118646621704,-1.239038348197937,yes,38,molecule
1,0,4.910486698150635,-1.1847461462020874,yes,39,molecule
1,0,2.5997707843780518,-2.0897626876831055,yes,40,molecule
1,0,4.565147876739502,-1.944018840789795,yes,41,molecule
0,0,2.983154773712158,-3.7641220092773438,yes,42,molecule
0,0,3.474198579788208,-1.2144858837127686,yes,43,molecule
1,0,5.837108135223389,-2.176693916320801,yes,44,molecule
1,1,5.044976711273193,-1.9263973236083984,yes,45,molecule
1,0,7.113156318664551,-1.6050492525100708,yes,46,molecule
0,0,2.343386173248291,-1.2539540529251099,no,47,molecule
1,0,4.009803771972656,-2.206843376159668,yes,48,molecule
1,0,6.1642327308654785,-1.2486541271209717,yes,49,molecule
