CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store,node_type
884,0,0,31,2012,d,c,1,"Jan,Apr,Jul,Oct",0,store
334,8,2003,0,0,a,a,0,,1,store
5377,3,2010,18,2011,a,a,1,"Jan,Apr,Jul,Oct",2,store
5296,10,0,40,2009,d,c,1,"Jan,Apr,Jul,Oct",3,store
445,9,2011,0,0,a,a,0,,4,store
3028,11,2011,0,0,d,a,0,,5,store
165,2,2013,0,0,a,c,0,,6,store
538,8,2008,0,0,a,a,0,,7,store
2085,10,2013,0,0,a,c,0,,8,store
1091,0,0,6,2015,d,c,1,"Jan,Apr,Jul,Oct",9,store
612,9,2008,43,2010,a,a,1,"Jan,Apr,Jul,Oct",10,store
7802,11,2013,0,0,d,c,0,,11,store
3797,9,2012,0,0,d,c,0,,12,store
7627,0,0,0,0,d,c,0,,13,store
517,9,2009,22,2013,a,a,1,"Feb,May,Aug,Nov",14,store
3060,2,2003,0,0,d,a,0,,15,store
17129,8,2004,14,2015,d,c,1,"Jan,Apr,Jul,Oct",16,store
1813,12,2010,0,0,a,c,0,,17,store
17190,4,2013,0,0,a,a,0,,18,store
1080,7,2010,28,2010,d,a,1,"Jan,Apr,Jul,Oct",19,store
3875,12,0,13,2014,a,a,1,"Mar,Jun,Sept,Dec",20,store
1363,0,0,47,2011,d,a,1,"Jan,Apr,Jul,Oct",21,store
366,9,2010,40,2012,a,a,1,"Mar,Jun,Sept,Dec",22,store
1544,0,0,26,2011,a,c,1,"Feb,May,Aug,Nov",23,store
6917,9,2009,0,0,d,a,0,,24,store
9,0,0,6,2011,a,b,1,"Jan,Apr,Jul,Oct",25,store
2147,3,2009,0,0,a,c,0,,26,store
9952,4,2003,0,0,c,a,0,,27,store
1699,8,2010,19,2014,a,a,1,"Mar,Jun,Sept,Dec",28,store
1146,10,2013,0,0,c,a,0,,29,store
55,7,2009,22,2010,d,a,1,"Jan,Apr,Jul,Oct",30,store
19164,3,2011,0,0,d,c,0,,31,store
13342,0,0,0,0,d,c,0,,32,store
12999,3,2009,0,0,d,c,0,,33,store
3289,9,2009,0,0,c,c,0,,34,store
2623,9,2009,0,0,a,a,0,,35,store
10746,11,2002,0,0,d,a,0,,36,store
3168,9,2013,0,0,a,c,0,,37,store
2300,9,2006,0,0,a,a,0,,38,store
392,11,2007,0,0,a,a,0,,39,store
4265,6,2007,48,2014,d,c,1,"Jan,Apr,Jul,Oct",40,store
7101,10,2010,0,0,a,a,0,,41,store
11402,0,0,0,0,a,c,0,,42,store
2474,0,0,14,2011,c,c,1,"Jan,Apr,Jul,Oct",43,store
2940,7,2005,0,0,d,c,0,,44,store
2653,5,2009,0,0,a,a,0,,45,store
2344,3,2008,0,0,a,c,0,,46,store
2275,4,2011,0,0,a,c,0,,47,store
14176,8,2004,0,0,d,c,0,,48,store
23586,4,2004,0,0,d,c,0,,49,store
676,11,2013,0,0,d,a,0,,50,store
358,11,2009,9,2013,a,c,1,"Feb,May,Aug,Nov",51,store
2026,7,2013,0,0,c,a,0,,52,store
2399,11,2009,40,2013,a,a,1,"Jan,Apr,Jul,Oct",53,store
7799,5,2011,0,0,d,c,0,,54,store
2090,8,2010,0,0,a,a,0,,55,store
4155,10,2011,0,0,d,c,0,,56,store
13516,5,2015,0,0,a,a,0,,57,store
3573,0,0,0,0,d,c,0,,58,store
192,6,2007,20,2011,a,a,1,"Jan,Apr,Jul,Oct",59,store
5743,0,0,0,0,a,c,0,,60,store
5570,11,2009,0,0,a,a,0,,61,store
25288,4,2004,0,0,a,a,0,,62,store
3389,0,0,0,0,a,a,0,,63,store
1128,12,2013,13,2014,d,a,1,"Jan,Apr,Jul,Oct",64,store
4497,10,0,13,2010,d,a,1,"Jan,Apr,Jul,Oct",65,store
3439,4,2010,14,2014,c,a,1,"Mar,Jun,Sept,Dec",66,store
2902,6,2010,0,0,a,a,0,,67,store
4673,9,2010,35,2011,d,a,1,"Mar,Jun,Sept,Dec",68,store
9273,6,2010,13,2012,d,c,1,"Jan,Apr,Jul,Oct",69,store
734,5,2013,36,2011,a,a,1,"Jan,Apr,Jul,Oct",70,store
5436,0,0,0,0,a,a,0,,71,store
707,7,2013,40,2009,d,c,1,"Jan,Apr,Jul,Oct",72,store
6794,0,0,0,0,a,c,0,,73,store
8071,2,2007,19,2010,d,c,1,"Mar,Jun,Sept,Dec",74,store
1435,0,0,40,2014,a,a,1,"Feb,May,Aug,Nov",75,store
3445,10,2013,29,2011,a,c,1,"Mar,Jun,Sept,Dec",76,store
15036,3,2012,0,0,d,a,0,,77,store
3039,0,0,0,0,a,c,0,,78,store
4410,0,0,0,0,d,a,0,,79,store
544,3,2013,0,0,a,a,0,,80,store
3233,4,2014,14,2013,a,a,1,"Jan,Apr,Jul,Oct",81,store
1517,5,2012,29,2014,a,a,1,"Jan,Apr,Jul,Oct",82,store
1306,12,2014,0,0,c,a,0,,83,store
1149,9,2008,0,0,c,a,0,,84,store
7134,0,0,0,0,a,a,0,,85,store
10862,10,2012,0,0,a,c,0,,86,store
6432,6,2010,0,0,d,a,0,,87,store
280,3,2004,0,0,a,a,0,,88,store
2123,0,0,0,0,a,c,0,,89,store
1126,12,2010,26,2012,a,c,1,"Feb,May,Aug,Nov",90,store
1668,10,2012,33,2012,d,c,1,"Jan,Apr,Jul,Oct",91,store
18170,0,0,40,2009,d,c,1,"Jan,Apr,Jul,Oct",92,store
9082,0,0,10,2011,a,c,1,"Jan,Apr,Jul,Oct",93,store
15769,11,2007,0,0,d,c,0,,94,store
2455,4,2012,0,0,a,c,0,,95,store
508,4,2014,0,0,a,a,0,,96,store
5178,0,0,0,0,a,a,0,,97,store
976,12,2012,9,2014,a,a,1,"Jan,Apr,Jul,Oct",98,store
2767,0,0,26,2012,c,a,1,"Mar,Jun,Sept,Dec",99,store
1002,8,2009,19,2012,c,a,1,"Jan,Apr,Jul,Oct",100,store
2145,0,0,0,0,d,c,0,,101,store
2362,12,2011,13,2014,c,a,1,"Jan,Apr,Jul,Oct",102,store
