element,type,charge,molecule_id,atom_id
c,22,-0.111,48,14
c,22,-0.134,48,15
c,22,-0.12,48,16
c,22,-0.093,48,17
h,3,0.145,48,18
o,52,-0.076,48,19
h,3,0.058,48,20
h,3,0.138,48,21
c,28,0.059,48,22
o,40,-0.398,48,25
h,3,0.136,48,26
c,29,0.016,48,27
h,3,0.146,48,28
h,3,0.073,48,29
c,22,-0.111,48,30
c,26,0.818,48,31
c,22,0.112,48,32
n,38,-0.085,48,33
c,22,-0.126,48,34
h,3,0.282,48,35
h,3,0.132,48,36
c,22,-0.403,48,37
c,28,0.132,48,38
o,40,-0.392,48,39
h,3,0.138,76,50
c,22,-0.111,76,51
c,22,-0.111,76,52
c,92,-0.083,76,53
c,22,0.062,76,54
h,3,0.059,76,55
h,3,0.14,76,56
n,38,0.152,76,57
h,3,-0.122,76,58
c,22,-0.118,76,59
c,27,-0.084,76,60
h,3,0.138,76,61
h,3,-0.12,76,62
h,3,0.139,76,63
h,3,0.142,76,64
h,3,0.061,76,65
c,22,-0.133,76,66
o,40,0.412,76,67
c,27,-0.085,76,68
c,22,-0.097,76,69
c,22,-0.113,76,70
n,38,-0.39,76,71
c,22,-0.118,76,72
o,40,-0.108,76,73
c,28,-0.088,76,74
c,22,0.118,76,75
h,3,0.129,76,109
c,22,0.811,76,110
h,3,-0.12,76,111
c,10,0.34,76,112
c,22,0.015,113,129
c,22,-0.142,113,130
h,3,0.143,113,131
c,22,0.138,113,132
o,40,0.005,113,133
h,1,0.198,113,134
c,22,-0.106,113,135
c,22,-0.135,113,141
o,40,-0.382,113,142
h,3,0.073,113,143
c,22,-0.121,113,144
h,3,0.142,113,145
c,26,-0.398,113,146
c,22,-0.119,113,147
c,22,-0.114,113,148
h,3,0.019,113,149
c,28,-0.167,113,150
c,22,-0.122,113,151
c,28,0.008,113,152
h,1,0.288,113,153
n,38,-0.085,113,154
c,22,-0.148,113,155
h,3,0.054,113,156
c,22,0.138,113,157
c,22,0.816,113,158
c,22,-0.116,113,159
h,3,0.058,176,197
c,22,-0.148,176,198
c,26,0.123,176,199
n,38,-0.085,176,200
h,1,-0.131,176,201
h,3,0.152,176,202
h,3,0.136,176,203
c,22,-0.097,176,204
c,22,-0.118,176,205
h,3,0.054,176,206
h,3,0.134,176,207
c,10,-0.403,176,208
c,28,-0.418,176,209
c,22,-0.144,176,210
c,22,-0.116,176,211
n,32,-0.412,176,212
h,3,0.134,176,213
c,10,-0.083,176,214
h,3,0.155,176,215
o,40,0.031,176,216
h,3,0.147,176,217
o,40,-0.39,176,218
c,10,0.118,176,219
c,27,0.009,176,220
h,3,0.146,176,221
c,22,0.138,176,222
c,27,0.009,176,223
c,22,-0.107,176,224
c,26,0.007,176,225
o,40,-0.384,229,230
c,29,0.132,229,231
h,3,0.134,229,232
c,40,-0.137,229,233
c,22,-0.115,229,234
o,40,0.015,229,235
o,40,-0.381,229,236
c,22,-0.114,229,237
h,3,0.132,229,238
o,40,-0.384,229,239
c,27,-0.079,229,240
c,28,0.147,229,241
c,195,-0.084,229,242
h,3,0.152,229,243
o,40,-0.11,229,244
c,22,-0.112,229,245
c,10,-0.394,229,246
h,3,0.134,229,247
c,22,-0.112,229,248
h,3,0.136,229,249
c,22,-0.118,229,250
h,3,0.145,229,251
c,22,-0.115,229,252
c,27,-0.085,229,253
c,22,-0.118,336,280
h,3,0.132,336,281
c,22,-0.126,336,283
h,3,-0.124,336,284
h,3,0.141,336,286
c,22,-0.128,336,291
h,3,0.132,336,292
n,38,0.806,336,307
h,3,0.801,336,311
c,22,-0.123,336,312
c,22,-0.133,336,313
c,22,0.816,336,314
o,40,-0.392,336,315
c,22,-0.116,336,316
h,3,-0.12,336,317
h,3,0.148,336,318
o,40,-0.394,336,319
c,22,-0.13,336,320
c,16,-0.191,336,321
c,26,0.011,336,322
c,22,-0.111,336,323
h,3,0.176,336,324
h,3,0.148,336,325
c,22,-0.124,336,326
h,3,0.144,336,327
h,3,0.13,336,330
c,22,-0.128,336,333
c,22,-0.114,336,335
c,22,-0.118,367,339
c,22,-0.116,367,340
h,3,0.017,367,341
c,22,-0.112,367,342
h,3,0.147,367,343
c,10,-0.379,367,344
h,3,0.148,367,345
c,22,-0.142,367,346
h,3,0.139,367,347
o,40,-0.382,367,348
c,41,-0.084,367,349
n,38,0.056,367,350
c,22,-0.119,367,351
h,3,0.801,367,352
c,22,0.15,367,353
c,22,-0.148,367,354
c,93,-0.084,367,355
c,10,-0.091,367,356
c,22,-0.124,367,357
o,40,-0.112,367,358
c,14,-0.119,367,359
h,1,0.142,367,360
c,22,-0.133,367,361
h,3,0.143,367,362
c,22,-0.079,367,363
n,38,0.808,367,364
c,22,-0.116,367,365
c,21,-0.107,367,366
o,40,-0.092,399,418
c,34,-0.15,399,419
c,22,0.153,399,420
c,22,-0.115,399,421
h,3,0.139,399,422
c,22,-0.109,399,423
c,21,-0.115,399,424
o,35,-0.369,399,425
h,3,0.163,399,426
c,10,-0.091,399,427
c,22,-0.115,399,428
c,22,-0.118,399,429
c,10,0.018,399,430
h,3,0.132,399,431
c,22,-0.119,399,432
c,22,-0.115,399,433
h,3,0.137,399,434
o,40,-0.382,399,435
c,22,-0.109,464,465
c,10,-0.394,464,466
h,3,0.143,464,467
o,40,-0.413,464,468
h,3,0.145,464,469
o,40,-0.378,464,470
h,3,0.134,464,471
c,22,-0.118,464,472
c,22,-0.113,464,473
c,28,0.188,464,474
o,40,-0.384,464,475
c,22,0.133,464,476
h,3,0.153,464,477
n,32,-0.11,464,478
o,40,-0.391,464,479
c,26,-0.388,464,480
c,22,-0.118,464,481
c,29,0.017,464,482
c,28,0.008,464,483
c,22,-0.148,464,484
o,40,-0.382,464,485
c,22,-0.089,464,486
h,3,0.073,464,487
c,22,-0.118,464,488
c,27,-0.379,464,489
h,3,0.145,464,490
c,22,-0.116,491,492
h,3,0.138,491,493
h,3,0.129,491,494
c,22,-0.115,491,495
c,26,-0.107,491,496
c,22,-0.118,491,497
n,38,-0.085,491,498
h,3,0.141,491,499
c,22,-0.122,491,500
c,22,0.015,491,501
o,40,-0.384,491,502
c,22,-0.118,491,503
c,27,0.8,491,504
c,22,-0.113,491,505
o,40,-0.39,491,506
c,22,0.202,491,507
o,40,-0.391,491,508
h,3,0.108,491,509
h,3,0.132,491,510
c,29,0.002,491,511
h,3,0.109,491,512
c,22,-0.111,491,513
o,40,-0.377,491,514
o,40,-0.384,491,515
o,40,0.816,491,516
c,22,-0.115,491,517
o,40,-0.382,491,518
n,38,0.818,491,519
c,22,0.188,560,581
o,40,-0.386,560,582
c,22,-0.084,560,583
c,22,-0.109,560,584
h,3,0.145,560,585
c,22,-0.118,560,586
c,29,0.008,560,587
o,40,-0.395,560,588
h,3,0.132,560,589
h,3,0.153,560,590
c,22,-0.118,560,591
h,3,0.152,560,592
c,22,-0.125,560,593
o,40,-0.393,560,594
h,3,-0.125,560,595
o,40,-0.376,560,596
c,27,-0.088,560,597
h,3,0.147,560,598
h,3,0.139,560,599
o,40,-0.113,560,600
h,3,0.146,560,601
c,29,0.132,560,602
o,50,0.011,560,603
h,3,0.132,560,604
c,22,0.332,560,605
c,22,-0.116,560,606
c,22,-0.114,560,607
c,29,-0.084,560,608
c,22,0.182,560,609
c,22,-0.126,641,613
c,22,-0.123,641,614
c,22,-0.118,641,615
c,27,-0.393,641,616
h,3,0.138,641,617
n,34,-0.081,641,618
c,22,0.002,641,619
c,29,0.008,641,620
o,40,-0.148,641,621
c,22,-0.119,641,622
h,3,0.142,641,623
c,29,-0.093,641,624
o,40,-0.083,641,642
h,3,0.155,641,643
h,3,0.047,641,644
c,27,0.006,641,645
o,40,0.787,672,646
o,40,-0.412,672,647
c,29,-0.108,672,648
c,22,-0.121,672,649
o,40,-0.382,672,650
h,3,0.059,672,651
n,195,-0.412,672,652
c,22,-0.125,672,653
h,3,0.146,672,654
c,22,-0.074,672,655
o,40,-0.392,672,656
c,22,0.282,672,657
h,3,0.132,672,658
h,3,0.058,672,659
h,3,0.129,672,660
n,38,-0.389,672,661
h,3,0.132,672,662
c,22,-0.111,672,663
h,3,0.061,672,664
c,22,0.332,672,665
c,22,-0.368,672,666
h,3,0.147,672,667
c,29,-0.097,672,668
o,40,0.008,672,669
c,22,0.138,672,670
h,3,0.126,672,671
o,40,-0.382,672,705
c,27,-0.393,672,706
n,38,-0.085,672,707
c,22,-0.122,672,708
c,22,-0.122,709,726
h,3,-0.113,709,727
h,3,0.145,709,728
h,3,0.134,709,729
c,27,0.009,709,730
c,22,-0.113,709,731
h,3,0.14,709,732
c,22,-0.122,709,733
c,22,0.182,709,734
c,22,-0.119,709,735
o,40,-0.393,709,736
o,40,-0.395,709,737
c,22,-0.105,709,738
h,3,0.062,709,739
c,22,-0.124,709,740
h,3,0.123,709,741
h,3,0.142,796,742
h,3,0.811,796,743
c,28,-0.167,796,744
o,40,-0.39,796,745
c,29,0.008,796,746
h,3,0.138,796,747
n,38,-0.368,796,748
h,3,0.059,796,749
h,3,0.138,796,750
c,27,-0.079,796,751
h,3,0.163,796,752
o,40,-0.392,796,753
h,3,0.142,796,754
h,3,0.142,796,755
c,22,0.816,796,756
o,40,-0.384,796,780
o,40,-0.382,796,781
c,22,-0.123,796,783
c,22,-0.118,796,785
c,22,-0.114,796,787
c,27,0.005,796,789
o,40,0.811,796,790
c,22,0.816,796,791
c,22,0.282,796,792
h,3,0.108,796,793
c,22,-0.122,796,794
c,22,0.102,796,795
h,3,0.801,796,797
h,3,0.059,855,829
c,22,-0.116,855,830
c,22,-0.109,855,831
h,3,0.13,855,832
h,3,0.132,855,833
c,22,-0.119,855,834
h,3,0.163,855,835
n,38,-0.085,855,836
h,3,0.058,855,837
c,22,-0.125,855,838
c,22,-0.114,855,839
c,22,-0.127,855,840
c,27,-0.076,855,841
c,22,0.816,855,842
o,40,-0.383,855,843
h,3,-0.132,855,844
c,22,-0.126,855,845
c,27,-0.343,855,846
c,22,-0.121,855,847
h,3,0.062,855,848
c,22,-0.111,855,849
c,22,-0.122,855,850
c,22,-0.142,855,851
o,40,0.016,855,852
c,27,0.163,855,853
c,22,-0.118,855,854
c,22,-0.133,865,886
h,3,0.176,865,887
h,3,0.163,865,888
h,3,0.108,865,889
h,3,0.138,865,890
c,27,0.009,865,891
c,22,-0.118,865,892
h,1,-0.113,865,893
c,22,0.138,865,894
c,22,-0.093,865,895
o,40,-0.379,865,896
c,22,-0.125,865,897
c,22,-0.118,865,898
h,3,0.142,865,899
c,22,-0.111,865,900
n,32,-0.383,865,901
c,22,-0.111,865,902
c,22,-0.148,865,903
h,3,0.145,865,904
h,3,0.163,865,905
c,22,-0.119,865,906
c,27,0.141,865,907
h,3,0.007,865,908
c,29,-0.113,865,909
c,22,-0.122,865,910
c,22,-0.124,865,911
c,22,-0.113,865,912
o,40,0.03,865,913
h,3,0.146,865,914
c,27,-0.388,969,940
c,22,0.134,969,941
h,3,0.141,969,942
c,27,-0.385,969,943
h,3,0.057,969,944
h,3,0.132,969,945
h,3,0.123,969,946
c,22,-0.114,969,947
c,22,-0.106,969,948
c,22,-0.388,969,949
c,22,-0.118,969,950
h,3,0.118,969,951
c,22,-0.119,969,952
h,3,0.141,969,953
h,3,0.147,969,954
h,3,0.145,969,955
h,3,0.066,969,956
c,22,-0.118,969,957
c,22,-0.119,969,958
h,3,0.132,969,959
c,22,-0.122,969,960
o,40,-0.398,969,961
o,40,-0.393,969,962
h,3,0.058,969,963
c,22,-0.074,969,964
c,29,-0.083,969,965
n,38,0.047,969,966
o,40,-0.383,969,967
c,22,-0.118,969,968
h,3,0.148,993,979
c,22,-0.118,993,980
c,22,-0.115,993,981
c,22,0.012,993,982
c,27,0.009,993,983
c,29,0.004,993,984
c,27,0.021,993,985
h,3,0.126,993,986
c,22,-0.142,993,987
h,3,0.142,993,988
c,26,0.123,993,989
c,28,0.012,993,990
o,40,-0.391,993,991
h,3,0.132,993,992
h,3,0.142,993,1026
o,40,-0.076,993,1027
c,22,-0.134,993,1028
o,40,-0.404,993,1029
c,22,-0.113,993,1030
o,40,0.016,993,1031
h,3,0.149,993,1032
o,40,-0.382,993,1033
c,22,-0.118,993,1034
n,32,0.015,993,1035
h,3,0.142,993,1036
h,3,0.152,993,1037
c,14,-0.083,993,1038
h,1,0.127,993,1039
o,40,-0.377,993,1040
c,22,-0.113,1056,1041
c,22,-0.115,1056,1042
c,22,0.816,1056,1043
o,40,-0.392,1056,1044
h,3,0.118,1056,1045
c,22,-0.116,1056,1046
c,22,-0.118,1056,1047
h,3,-0.12,1056,1048
o,40,-0.388,1056,1049
c,22,-0.105,1056,1050
h,3,-0.106,1056,1051
c,27,-0.167,1056,1052
c,22,0.118,1056,1053
c,22,-0.126,1056,1054
c,22,0.118,1056,1055
c,27,0.132,1056,1087
h,3,0.138,1056,1088
c,22,-0.111,1056,1089
o,40,-0.377,1056,1090
c,22,-0.116,1056,1091
c,22,-0.128,1056,1092
c,29,0.055,1056,1093
h,3,0.188,1056,1094
c,22,-0.118,1056,1095
