ind1,inda,logp,lumo,mutagenic,molecule_id
0,0,2.8038434982299805,-0.8926612734794617,no,48
1,0,5.809427738189697,-1.773543119430542,yes,76
0,0,2.6724960803985596,-1.3246376514434814,yes,113
1,1,5.117070198059082,-2.055844306945801,yes,176
0,0,2.46042799949646,-1.6782244443893433,no,229
1,0,4.2721662521362305,-2.8177404403686523,yes,336
0,0,1.7832441329956055,-1.4827966690063477,no,367
0,0,1.551566481590271,-2.2311410903930664,yes,399
0,0,3.085456371307373,-1.1995728015899658,no,464
1,0,7.412621021270752,-1.614762783050537,yes,491
1,0,3.3085620403289795,-1.1170463562011719,yes,560
0,0,1.664265751838684,-1.1188971996307373,no,641
1,0,3.930253744125366,-1.3628060817718506,yes,672
1,0,4.68336296081543,-1.6148279905319214,yes,709
0,0,1.5772868394851685,-1.154693603515625,no,796
0,0,2.2454750537872314,-1.457343339920044,no,855
0,0,3.2646775245666504,-1.112147331237793,no,865
0,0,3.2961905002593994,-1.167044997215271,no,969
0,0,2.2678825855255127,-1.2618153095245361,yes,993
0,0,3.0661871433258057,-1.2211103439331055,no,1056
1,0,5.085669994354248,-2.412764549255371,yes,1127
1,0,5.431370258331299,-1.7909729480743408,yes,1154
0,0,2.3432681560516357,-1.1046446561813354,no,1250
1,0,4.004893779754639,-2.9464378356933594,yes,1268
0,0,3.2832188606262207,-3.756387710571289,yes,1315
0,0,2.105992078781128,-2.210972785949707,yes,1441
1,0,4.460648059844971,-1.767890453338623,yes,1443
1,0,6.7077717781066895,-1.455750823020935,no,1515
0,0,1.8548121452331543,-2.0103728771209717,yes,1562
1,0,4.822737693786621,-1.4680142402648926,yes,1639
0,0,3.266599655151367,-1.785219430923462,yes,1681
1,0,5.6487860679626465,-2.1803910732269287,yes,1753
0,0,3.0924596786499023,-2.2696619033813477,yes,1804
1,0,4.672314643859863,-1.1750391721725464,yes,1830
1,0,5.298225402832031,-1.504990577697754,yes,1921
1,0,3.425586223602295,-1.2070987224578857,yes,1981
0,0,2.0974764823913574,-1.1739898920059204,no,1994
1,0,3.8535168170928955,-1.7562081813812256,yes,2079
1,0,3.5847644805908203,-1.4484353065490723,yes,2094
1,0,5.145310401916504,-1.8077911138534546,yes,2164
1,0,5.337852954864502,-1.4935556650161743,yes,2183
1,1,5.128231525421143,-1.991735577583313,yes,2258
1,0,6.685607433319092,-1.880643367767334,yes,2304
1,0,7.779342174530029,-1.5575231313705444,no,2372
0,0,2.239145040512085,-0.6106169819831848,no,2435
1,0,3.762909412384033,-1.4207258224487305,yes,2478
1,0,4.058139324188232,-2.294522762298584,yes,2528
1,0,4.336595058441162,-1.3827083110809326,yes,2559
1,0,4.395002365112305,-1.9621466398239136,yes,2659
1,0,4.959925651550293,-1.955489993095398,yes,2699
0,0,2.596569299697876,-1.6857092380523682,yes,2702
0,0,2.8426730632781982,-1.1700810194015503,no,2826
1,0,2.6565873622894287,-1.7568109035491943,yes,2875
1,0,4.001938343048096,-1.2779604196548462,yes,2880
0,0,1.8358839750289917,-0.9021684527397156,no,2964
1,0,4.698712348937988,-2.0022799968719482,yes,3014
1,0,2.463111400604248,-2.0415685176849365,yes,3034
1,0,3.8045401573181152,-1.3152518272399902,yes,3120
0,0,2.304070234298706,-1.3584630489349365,no,3190
1,1,5.1398234367370605,-2.0658349990844727,yes,3247
1,0,4.740234851837158,-1.5184937715530396,yes,3287
1,0,2.906306028366089,-2.2230324745178223,yes,3343
