CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store
2904,0,0,0,0,d,a,0,,28
398,0,0,40,2014,a,c,1,"Jan,Apr,Jul,Oct",49
15614,9,2007,0,0,a,a,0,,50
111,11,2009,0,0,c,a,0,,98
5196,3,2009,0,0,d,c,0,,121
10543,0,0,40,2014,d,a,1,"Jan,Apr,Jul,Oct",149
2688,4,2010,24,2010,a,c,1,"Mar,Jun,Sept,Dec",150
16717,3,2014,0,0,d,a,0,,151
932,11,2011,4,2012,d,c,1,"Jan,Apr,Jul,Oct",187
1113,2,2007,38,2009,a,a,1,"Jan,Apr,Jul,Oct",201
54063,2,2004,0,0,a,a,0,,246
1162,5,2013,7,2014,a,a,1,"Jan,Apr,Jul,Oct",270
2341,10,2009,0,0,a,a,0,,312
15821,1,2005,0,0,a,c,0,,349
3560,11,2009,24,2013,a,a,1,"Jan,Apr,Jul,Oct",384
161,0,0,0,0,a,a,0,,399
6058,3,2012,0,0,d,a,0,,446
174,0,0,19,2010,c,c,1,"Jan,Apr,Jul,Oct",455
8862,0,0,0,0,a,c,0,,501
3640,9,2011,0,0,a,c,0,,549
230,11,2004,0,2013,c,a,1,"Feb,May,Aug,Nov",596
243,8,2006,7,2012,a,a,1,"Jan,Apr,Jul,Oct",597
1033,0,0,27,2012,d,c,1,"Jan,Apr,Jul,Oct",645
2161,0,0,14,2011,d,a,1,"Jan,Apr,Jul,Oct",662
10310,12,2004,0,0,d,c,0,,711
2592,0,0,42,2009,c,a,1,"Feb,May,Aug,Nov",745
92,7,2014,35,2012,a,a,1,"Jan,Apr,Jul,Oct",746
1189,0,0,0,0,a,a,0,,791
5855,12,0,14,2013,d,c,1,"Feb,May,Aug,Nov",814
6783,9,2006,40,2009,d,a,1,"Jan,Apr,Jul,Oct",858
502,0,0,14,2012,c,c,1,"Mar,Jun,Sept,Dec",897
1398,11,2005,13,2011,d,c,1,"Jan,Apr,Jul,Oct",943
48727,9,2011,0,0,a,c,0,,978
1009,0,0,26,2010,a,a,1,"Mar,Jun,Sept,Dec",1018
4592,9,2010,0,0,a,a,0,,1042
3861,10,2011,0,0,d,a,0,,1083
1075,0,0,0,2013,d,a,1,"Jan,Apr,Jul,Oct",1101
13444,0,0,9,2011,a,c,1,"Jan,Apr,Jul,Oct",1159
3272,9,2009,0,0,a,a,0,,1215
609,11,2006,24,2010,a,a,1,"Jan,Apr,Jul,Oct",1240
396,0,0,0,0,a,a,0,,1288
3905,3,2012,0,0,a,a,0,,1310
3019,5,2013,13,2010,c,c,1,"Jan,Apr,Jul,Oct",1386
532,11,2007,9,2013,d,c,1,"Jan,Apr,Jul,Oct",1415
5098,9,2011,14,2010,d,a,1,"Jan,Apr,Jul,Oct",1470
1091,11,2011,0,0,a,a,0,,1485
5077,10,2009,17,2011,a,a,1,"Feb,May,Aug,Nov",1532
16,6,2008,22,2012,c,c,1,"Mar,Jun,Sept,Dec",1556
9938,7,2010,0,0,a,a,0,,1584
1811,10,2008,30,2013,a,a,1,"Feb,May,Aug,Nov",1594
3335,9,2013,0,0,d,c,0,,1646
7750,7,2010,44,2009,a,c,1,"Feb,May,Aug,Nov",1724
4809,9,2013,0,0,d,c,0,,1747
2333,0,0,36,2011,d,a,1,"Jan,Apr,Jul,Oct",1790
1082,8,2010,22,2014,a,a,1,"Jan,Apr,Jul,Oct",1865
2097,0,0,13,2011,d,c,1,"Feb,May,Aug,Nov",1894
647,8,2008,0,0,a,a,0,,1953
7829,10,2002,33,2009,a,c,1,"Jan,Apr,Jul,Oct",1994
4520,0,0,0,0,d,c,0,,2048
1954,3,2010,14,2010,d,a,1,"Jan,Apr,Jul,Oct",2090
267,11,2005,5,2010,a,a,1,"Jan,Apr,Jul,Oct",2155
16038,4,2007,40,2009,d,a,1,"Feb,May,Aug,Nov",2200
5209,0,0,0,0,d,c,0,,2266
1814,11,2012,13,2010,a,c,1,"Jan,Apr,Jul,Oct",2319
326,7,2012,18,2010,d,a,1,"Jan,Apr,Jul,Oct",2320
8400,4,2007,0,0,d,c,0,,2360
677,0,0,6,2013,d,c,1,"Jan,Apr,Jul,Oct",2418
8436,0,0,14,2011,d,a,1,"Jan,Apr,Jul,Oct",2431
2187,0,0,0,0,a,a,0,,2506
12982,0,0,0,0,a,a,0,,2533
403,3,2012,12,2015,a,a,1,"Jan,Apr,Jul,Oct",2566
11,12,2011,40,2014,a,a,1,"Jan,Apr,Jul,Oct",2579
8207,4,2006,0,0,a,a,0,,2616
2256,5,2007,14,2012,a,c,1,"Mar,Jun,Sept,Dec",2655
14430,9,2007,14,2011,d,a,1,"Jan,Apr,Jul,Oct",2703
558,3,2015,14,2010,c,a,1,"Jan,Apr,Jul,Oct",2738
2290,10,2009,0,0,a,c,0,,2812
9406,9,2011,37,2012,a,c,1,"Jan,Apr,Jul,Oct",2861
3308,0,0,0,0,a,a,0,,2877
1014,6,2012,0,0,a,a,0,,2918
153,12,2007,21,2013,a,c,1,"Feb,May,Aug,Nov",2960
335,0,0,14,2013,d,a,1,"Feb,May,Aug,Nov",2961
1880,5,2013,40,2014,d,c,1,"Jan,Apr,Jul,Oct",2962
2671,1,2005,14,2011,d,c,1,"Jan,Apr,Jul,Oct",2963
2350,0,0,20,2013,a,c,1,"Jan,Apr,Jul,Oct",2989
1512,4,2013,0,0,a,a,0,,3057
