element,type,charge,molecule_id,atom_id,node_type
h,3,0.152,0,0,atom
c,22,-0.125,0,1,atom
c,22,-0.115,0,2,atom
h,3,0.136,0,3,atom
h,3,0.12,0,4,atom
h,3,0.061,0,5,atom
h,3,0.137,0,6,atom
h,3,0.127,0,7,atom
o,40,-0.395,0,8,atom
c,22,0.004,0,9,atom
c,22,-0.124,0,10,atom
o,40,-0.395,0,11,atom
c,22,-0.124,0,12,atom
c,14,-0.097,0,13,atom
h,3,0.129,0,14,atom
h,3,-0.08,0,15,atom
c,22,0.142,0,16,atom
h,3,0.135,0,17,atom
h,3,0.139,0,18,atom
h,3,0.129,0,19,atom
h,21,-0.074,0,20,atom
c,14,0.021,0,21,atom
c,22,-0.11,0,22,atom
c,21,-0.115,0,23,atom
h,3,0.136,1,24,atom
h,3,0.143,1,25,atom
c,22,-0.124,1,26,atom
c,22,-0.124,1,27,atom
h,3,0.136,1,28,atom
n,38,0.136,1,29,atom
o,40,-0.395,1,30,atom
o,40,-0.396,1,31,atom
h,3,0.136,1,32,atom
h,3,0.136,1,33,atom
o,40,-0.393,1,34,atom
c,22,-0.134,1,35,atom
c,22,-0.122,1,36,atom
c,22,-0.124,1,37,atom
c,22,-0.124,1,38,atom
c,22,0.182,1,39,atom
c,22,-0.124,1,40,atom
c,22,-0.124,1,41,atom
h,3,0.12,1,42,atom
c,22,-0.124,1,43,atom
o,40,-0.381,1,44,atom
h,3,0.139,1,45,atom
h,3,0.152,1,46,atom
c,22,-0.074,1,47,atom
c,22,-0.386,1,48,atom
h,3,0.129,1,49,atom
h,3,0.136,1,50,atom
h,3,0.012,1,51,atom
o,40,-0.391,1,52,atom
h,3,0.136,1,53,atom
h,3,0.13,2,54,atom
c,22,-0.124,2,55,atom
o,40,-0.379,2,56,atom
c,34,-0.191,2,57,atom
o,40,-0.391,2,58,atom
h,3,-0.12,2,59,atom
h,3,0.152,2,60,atom
h,3,0.152,2,61,atom
c,22,-0.137,2,62,atom
n,38,0.813,2,63,atom
c,22,-0.122,2,64,atom
c,93,-0.137,2,65,atom
c,22,-0.115,2,66,atom
h,3,0.136,2,67,atom
h,3,0.13,2,68,atom
c,27,-0.085,2,69,atom
n,38,-0.126,2,70,atom
c,26,0.123,2,71,atom
c,22,-0.115,2,72,atom
h,3,0.139,2,73,atom
