ind1,inda,logp,lumo,mutagenic,molecule_id,node_type
1,0,6.016530513763428,-1.2104839086532593,yes,0,molecule
1,0,4.608433723449707,-1.8994673490524292,yes,1,molecule
0,0,2.02295184135437,-1.1990474462509155,no,2,molecule
0,0,0.08478691428899765,-0.5290069580078125,no,3,molecule
1,0,4.322573661804199,-1.950170636177063,yes,4,molecule
0,0,1.479015588760376,-1.3637194633483887,no,5,molecule
1,0,4.971426963806152,-1.8158138990402222,yes,6,molecule
0,0,1.0392541885375977,-1.9977738857269287,yes,7,molecule
0,0,2.5503432750701904,-1.8023056983947754,no,8,molecule
0,0,2.561556100845337,-1.3322663307189941,no,9,molecule
1,0,3.436140775680542,-1.5002906322479248,yes,10,molecule
1,0,4.75197696685791,-2.1491098403930664,yes,11,molecule
0,0,1.814383864402771,-1.1262316703796387,no,12,molecule
1,0,4.058216571807861,-1.561779260635376,yes,13,molecule
1,0,4.317323207855225,-1.644492506980896,yes,14,molecule
0,0,0.5233443379402161,-1.4544843435287476,no,15,molecule
0,0,2.6650078296661377,-1.4057468175888062,yes,16,molecule
1,0,5.017805099487305,-1.6629830598831177,yes,17,molecule
0,0,3.350823163986206,-2.17919921875,yes,18,molecule
0,0,1.717995524406433,-0.8793266415596008,no,19,molecule
0,0,3.8977651596069336,-3.3852360248565674,yes,20,molecule
0,0,2.8208115100860596,-2.076336145401001,yes,21,molecule
0,0,1.9773918390274048,-1.723988652229309,no,22,molecule
0,0,2.581695556640625,-1.1396701335906982,no,23,molecule
1,0,4.574767589569092,-1.4653733968734741,yes,24,molecule
0,0,3.391099691390991,-1.2406463623046875,no,25,molecule
0,0,3.1794662475585938,-1.8129565715789795,no,26,molecule
1,0,3.7042434215545654,-1.291226863861084,yes,27,molecule
0,0,2.956545114517212,-1.091790795326233,no,28,molecule
0,0,2.596020221710205,-1.118899941444397,no,29,molecule
1,0,4.996070861816406,-1.8282873630523682,yes,30,molecule
1,0,2.5089080333709717,-3.1746256351470947,yes,31,molecule
1,0,2.5576894283294678,-2.2527713775634766,yes,32,molecule
0,0,2.44335675239563,-1.606587290763855,no,33,molecule
1,1,5.262605667114258,-1.9319603443145752,yes,34,molecule
0,0,2.1067047119140625,-2.166560649871826,no,35,molecule
0,0,2.6636314392089844,-1.4753179550170898,no,36,molecule
1,0,5.357080459594727,-1.8557696342468262,yes,37,molecule
1,0,3.7083444595336914,-1.2696563005447388,yes,38,molecule
1,0,4.727802276611328,-1.56058931350708,yes,39,molecule
0,0,2.075336217880249,-1.357688546180725,no,40,molecule
1,0,4.884018421173096,-1.3265289068222046,yes,41,molecule
1,0,2.987576484680176,-1.2703052759170532,yes,42,molecule
1,0,7.8399739265441895,-1.7666077613830566,no,43,molecule
1,0,7.684933662414551,-1.7195056676864624,yes,44,molecule
1,0,4.327529430389404,-1.7590423822402954,yes,45,molecule
1,0,7.839599132537842,-1.5305579900741577,no,46,molecule
1,0,3.285053014755249,-1.3084511756896973,yes,47,molecule
