CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store,node_type
269,0,0,0,0,a,a,0,,0,store
7011,3,2012,0,0,c,a,0,,1,store
12768,7,2010,38,2010,d,c,1,"Jan,Apr,Jul,Oct",2,store
5684,0,0,0,0,d,c,0,,3,store
73934,0,0,0,0,a,c,0,,4,store
11619,0,0,13,2015,d,c,1,"Jan,Apr,Jul,Oct",5,store
5969,9,2011,0,0,d,a,0,,6,store
71,7,2015,0,0,a,a,0,,7,store
13094,0,0,0,0,a,a,0,,8,store
2295,1,2006,9,2010,a,a,1,"Jan,Apr,Jul,Oct",9,store
1035,4,2003,14,2012,a,c,1,"Mar,Jun,Sept,Dec",10,store
7621,3,2006,0,0,a,c,0,,11,store
1151,0,0,38,2013,d,c,1,"Jan,Apr,Jul,Oct",12,store
3026,4,2011,16,2011,a,a,1,"Jan,Apr,Jul,Oct",13,store
4052,0,0,14,2011,c,c,1,"Mar,Jun,Sept,Dec",14,store
2069,4,2012,0,0,c,a,0,,15,store
8608,1,2012,0,0,a,a,0,,16,store
2171,0,0,0,0,c,c,0,,17,store
1073,7,2006,0,0,c,c,0,,18,store
11313,10,0,0,0,d,c,0,,19,store
19,0,0,44,2009,a,a,1,"Jan,Apr,Jul,Oct",20,store
1886,11,2011,0,0,a,c,0,,21,store
17074,0,0,0,0,a,c,0,,22,store
4480,4,2009,14,2014,a,a,1,"Jan,Apr,Jul,Oct",23,store
151,9,2008,0,0,c,a,0,,24,store
14708,0,0,0,0,c,a,0,,25,store
16,4,2002,0,0,c,a,0,,26,store
333,5,2012,0,0,c,a,0,,27,store
3456,10,2010,0,0,a,a,0,,28,store
3411,9,2009,0,0,a,a,0,,29,store
1496,12,2012,0,0,a,a,0,,30,store
212,7,2012,10,2011,a,a,1,"Jan,Apr,Jul,Oct",31,store
45450,4,2015,0,0,a,c,0,,32,store
21685,4,2014,0,0,d,c,0,,33,store
138,2,2005,0,0,b,c,0,,34,store
10021,9,2013,0,0,a,a,0,,35,store
3450,3,2010,14,2013,d,a,1,"Feb,May,Aug,Nov",36,store
1691,12,2011,31,2010,a,a,1,"Jan,Apr,Jul,Oct",37,store
10058,0,0,0,0,d,c,0,,38,store
85,11,2011,0,0,c,a,0,,39,store
508,0,0,20,2014,a,c,1,"Mar,Jun,Sept,Dec",40,store
940,6,2013,12,2011,d,c,1,"Jan,Apr,Jul,Oct",41,store
17898,0,0,0,0,a,c,0,,42,store
185,0,0,37,2012,a,c,1,"Jan,Apr,Jul,Oct",43,store
6243,0,0,32,2011,d,c,1,"Jan,Apr,Jul,Oct",44,store
2966,4,2005,0,0,a,a,0,,45,store
5328,3,2006,17,2011,a,c,1,"Feb,May,Aug,Nov",46,store
6300,11,2006,0,0,a,a,0,,47,store
1774,7,2002,0,0,a,a,0,,48,store
1899,0,0,0,0,a,c,0,,49,store
1621,7,2006,7,2014,c,c,1,"Mar,Jun,Sept,Dec",50,store
4436,0,0,36,2011,d,c,1,"Jan,Apr,Jul,Oct",51,store
2420,9,2013,40,2012,a,c,1,"Mar,Jun,Sept,Dec",52,store
15759,11,923,0,0,a,c,0,,53,store
7443,0,0,14,2011,a,a,1,"Jan,Apr,Jul,Oct",54,store
19584,8,2013,0,0,a,a,0,,55,store
18897,9,2011,18,2014,d,a,1,"Mar,Jun,Sept,Dec",56,store
50781,4,2014,0,0,c,c,0,,57,store
944,0,0,14,2012,d,c,1,"Feb,May,Aug,Nov",58,store
2173,4,2005,12,2011,a,a,1,"Jan,Apr,Jul,Oct",59,store
1819,1,2013,0,0,a,c,0,,60,store
2060,3,2010,0,2013,d,a,1,"Feb,May,Aug,Nov",61,store
12964,10,2013,14,2013,a,a,1,"Feb,May,Aug,Nov",62,store
4688,9,2007,0,0,a,c,0,,63,store
2231,9,2011,0,0,a,a,0,,64,store
8578,0,0,0,0,d,c,0,,65,store
1030,11,2009,0,0,a,a,0,,66,store
922,11,2013,38,2010,d,a,1,"Jan,Apr,Jul,Oct",67,store
749,11,2008,20,2012,a,a,1,"Jan,Apr,Jul,Oct",68,store
8512,9,2010,0,0,d,c,0,,69,store
9983,4,2011,14,2013,d,c,1,"Jan,Apr,Jul,Oct",70,store
1796,10,2009,0,0,a,a,0,,71,store
545,0,0,40,2013,a,c,1,"Jan,Apr,Jul,Oct",72,store
5609,7,2009,16,2011,a,a,1,"Jan,Apr,Jul,Oct",73,store
154,0,0,0,0,c,c,0,,74,store
12146,9,2014,0,0,d,c,0,,75,store
3424,0,0,0,0,a,c,0,,76,store
3544,0,0,5,2015,a,c,1,"Mar,Jun,Sept,Dec",77,store
6733,9,2011,0,0,a,a,0,,78,store
225,4,2008,21,2010,c,a,1,"Mar,Jun,Sept,Dec",79,store
5864,3,0,0,0,a,a,0,,80,store
2066,10,1999,0,0,d,c,0,,81,store
17043,9,2006,0,0,a,a,0,,82,store
914,0,0,40,2012,a,c,1,"Jan,Apr,Jul,Oct",83,store
2664,11,2010,14,2014,d,a,1,"Jan,Apr,Jul,Oct",84,store
4530,0,0,10,2011,a,a,1,"Jan,Apr,Jul,Oct",85,store
2924,2,2009,0,0,a,a,0,,86,store
199,0,0,13,2013,a,c,1,"Feb,May,Aug,Nov",87,store
2341,2,2012,40,2014,c,a,1,"Jan,Apr,Jul,Oct",88,store
10203,2,2007,33,2014,a,a,1,"Jan,Apr,Jul,Oct",89,store
3107,9,2009,15,2011,a,c,1,"Jan,Apr,Jul,Oct",90,store
433,0,0,0,0,a,a,0,,91,store
12440,0,0,23,2011,c,c,1,"Mar,Jun,Sept,Dec",92,store
4247,0,0,0,0,a,c,0,,93,store
8711,9,2012,0,0,d,a,0,,94,store
2329,8,1773,0,0,a,a,0,,95,store
13046,0,0,14,2011,d,c,1,"Jan,Apr,Jul,Oct",96,store
8576,0,0,0,2013,d,c,1,"Jan,Apr,Jul,Oct",97,store
109,3,2007,0,0,a,c,0,,98,store
2230,9,2010,0,0,a,c,0,,99,store
2740,7,2015,0,0,c,a,0,,100,store
6339,10,1978,0,2011,a,a,0,,101,store
3350,10,2008,38,2011,c,c,1,"Feb,May,Aug,Nov",102,store
3810,12,2005,0,0,a,a,0,,103,store
523,7,2009,6,2011,c,a,1,"Jan,Apr,Jul,Oct",104,store
1591,0,0,11,2013,a,c,1,"Feb,May,Aug,Nov",105,store
1674,0,0,28,2013,d,a,1,"Jan,Apr,Jul,Oct",106,store
120,12,2007,40,2014,c,c,1,"Jan,Apr,Jul,Oct",107,store
621,4,2014,0,0,a,c,0,,108,store
112,0,0,0,0,d,c,0,,109,store
1276,3,2014,14,2010,d,a,1,"Jan,Apr,Jul,Oct",110,store
3335,0,0,0,0,c,a,0,,111,store
637,9,2011,38,2012,a,a,1,"Mar,Jun,Sept,Dec",112,store
4153,1,2005,13,2010,d,c,1,"Jan,Apr,Jul,Oct",113,store
13822,9,2011,7,2011,a,c,1,"Feb,May,Aug,Nov",114,store
19635,0,0,43,2009,a,c,1,"Jan,Apr,Jul,Oct",115,store
1113,11,2009,0,0,a,c,0,,116,store
1511,12,2007,13,2011,c,a,1,"Jan,Apr,Jul,Oct",117,store
993,1,2015,0,0,d,c,0,,118,store
2650,3,2014,38,2014,a,a,1,"Jan,Apr,Jul,Oct",119,store
1906,11,2014,0,0,d,c,0,,120,store
4445,2,2012,0,0,c,a,0,,121,store
75,0,0,0,0,a,c,0,,122,store
11409,0,0,0,0,d,a,0,,123,store
21671,5,2011,38,2015,a,c,1,"Mar,Jun,Sept,Dec",124,store
3348,11,2010,0,0,c,a,0,,125,store
16982,0,0,0,0,d,a,0,,126,store
646,9,2010,0,0,a,a,0,,127,store
2803,7,1325,0,0,a,a,0,,128,store
584,9,2006,0,2013,a,a,1,"Jan,Apr,Jul,Oct",129,store
