element,type,charge,molecule_id,atom_id
c,10,-0.377,48,14
h,3,0.176,48,15
h,3,0.176,48,16
c,10,-0.091,48,17
c,10,-0.081,48,18
c,10,-0.395,48,19
c,10,-0.076,48,20
c,10,-0.108,48,21
c,10,0.017,48,22
n,16,-0.089,48,25
c,22,-0.082,48,26
c,10,-0.4,48,27
f,3,0.13,48,28
c,21,-0.084,48,29
c,10,-0.396,48,30
h,3,0.15,48,31
h,3,0.176,48,32
c,10,-0.384,48,33
c,10,-0.083,48,34
c,10,-0.076,48,35
c,10,-0.083,48,36
n,21,0.152,48,37
h,3,0.176,48,38
o,40,0.282,48,39
c,10,0.031,76,50
c,10,-0.363,76,51
h,3,0.147,76,52
o,40,-0.382,76,53
c,10,-0.082,76,54
h,3,0.148,76,55
c,10,-0.091,76,56
c,10,-0.392,76,57
c,10,-0.081,76,58
c,10,-0.404,76,59
c,10,-0.404,76,60
h,3,0.152,76,61
o,40,-0.398,76,62
h,3,0.148,76,63
o,40,-0.39,76,64
o,40,-0.39,76,65
c,34,-0.084,76,66
o,40,0.807,76,67
c,10,-0.089,76,68
h,3,0.148,76,69
c,10,-0.091,76,70
c,10,-0.089,76,71
c,10,-0.089,76,72
o,40,-0.377,76,73
o,40,0.046,76,74
c,10,-0.081,76,75
c,10,-0.081,76,109
c,10,-0.089,76,110
c,10,-0.4,76,111
c,10,-0.081,76,112
c,10,-0.381,113,129
b,3,0.823,113,130
c,10,-0.381,113,131
c,10,-0.083,113,132
c,10,-0.083,113,133
c,10,-0.083,113,134
c,10,-0.083,113,135
c,10,-0.093,113,141
o,40,-0.403,113,142
h,3,-0.106,113,143
h,3,-0.074,113,144
c,10,-0.381,113,145
o,40,0.011,113,146
c,10,-0.083,113,147
c,10,-0.083,113,148
o,40,0.007,113,149
h,3,0.133,113,150
h,3,0.134,113,151
h,3,0.062,113,152
c,10,-0.381,113,153
c,10,-0.083,113,154
c,10,-0.083,113,155
c,10,-0.381,113,156
h,3,0.056,113,157
o,40,-0.107,113,158
h,3,-0.12,113,159
c,10,-0.137,176,197
c,10,-0.137,176,198
c,10,0.006,176,199
c,10,-0.137,176,200
c,10,-0.137,176,201
c,19,-0.137,176,202
o,40,0.015,176,203
c,10,-0.137,176,204
c,10,-0.083,176,205
c,10,-0.083,176,206
c,25,-0.074,176,207
c,10,-0.137,176,208
c,93,-0.137,176,209
c,10,-0.137,176,210
c,10,-0.137,176,211
c,10,-0.137,176,212
o,34,0.016,176,213
c,10,0.006,176,214
c,10,-0.137,176,215
c,25,-0.137,176,216
c,25,-0.137,176,217
c,92,-0.137,176,218
c,10,0.823,176,219
c,10,-0.137,176,220
c,10,-0.137,176,221
c,10,-0.137,176,222
o,40,-0.404,176,223
c,93,-0.137,176,224
c,25,-0.191,176,225
c,10,-0.079,229,230
c,10,0.006,229,231
c,10,-0.094,229,232
c,10,-0.091,229,233
c,10,0.006,229,234
c,10,0.006,229,235
c,10,-0.082,229,236
h,3,0.817,229,237
c,22,-0.08,229,238
c,35,-0.111,229,239
c,35,-0.111,229,240
c,10,-0.091,229,241
c,10,0.017,229,242
c,34,-0.084,229,243
h,3,0.058,229,244
h,3,0.191,229,245
h,3,0.057,229,246
c,10,-0.093,229,247
c,10,-0.384,229,248
c,10,-0.094,229,249
c,10,-0.093,229,250
o,16,-0.39,229,251
h,1,0.145,229,252
o,16,-0.089,229,253
h,3,0.136,336,280
h,3,0.145,336,281
o,40,-0.393,336,283
h,3,0.145,336,284
c,10,-0.091,336,286
c,10,-0.091,336,291
c,10,-0.384,336,292
h,3,0.13,336,307
c,10,0.017,336,311
o,40,-0.385,336,312
h,3,0.149,336,313
h,3,0.134,336,314
o,40,0.015,336,315
c,10,-0.091,336,316
h,3,0.162,336,317
h,3,0.133,336,318
h,3,0.145,336,319
h,3,0.147,336,320
c,10,-0.091,336,321
c,10,-0.091,336,322
c,10,-0.091,336,323
c,10,0.013,336,324
c,10,-0.083,336,325
c,10,-0.4,336,326
c,10,-0.091,336,327
c,10,-0.091,336,330
c,10,-0.091,336,333
c,10,-0.091,336,335
c,10,0.006,367,339
c,10,0.006,367,340
c,10,-0.091,367,341
c,10,-0.091,367,342
c,10,-0.091,367,343
o,40,-0.385,367,344
h,3,0.817,367,345
h,3,0.817,367,346
c,10,-0.091,367,347
c,10,-0.091,367,348
c,10,-0.076,367,349
c,10,-0.094,367,350
c,10,-0.091,367,351
c,10,-0.083,367,352
c,10,0.006,367,353
o,40,-0.404,367,354
h,3,0.154,367,355
h,3,0.134,367,356
c,10,0.006,367,357
c,36,0.055,367,358
h,3,0.134,367,359
c,10,-0.076,367,360
c,10,-0.395,367,361
c,10,0.006,367,362
c,10,-0.363,367,363
o,40,-0.194,367,364
h,3,0.125,367,365
c,34,-0.084,367,366
c,10,0.016,399,418
c,10,-0.391,399,419
c,10,-0.137,399,420
c,10,-0.089,399,421
o,40,-0.379,399,422
o,40,-0.397,399,423
o,16,0.008,399,424
h,3,0.133,399,425
o,40,-0.383,399,426
o,40,-0.392,399,427
c,10,-0.144,399,428
c,10,-0.779,399,429
c,10,-0.144,399,430
c,10,-0.137,399,431
c,10,0.03,399,432
o,16,-0.135,399,433
n,16,-0.404,399,434
o,40,-0.397,399,435
c,10,-0.091,464,465
h,3,0.162,464,466
c,10,-0.083,464,467
c,10,-0.091,464,468
c,10,-0.091,464,469
c,10,-0.091,464,470
c,10,-0.091,464,471
c,10,-0.083,464,472
c,10,-0.091,464,473
c,10,-0.091,464,474
h,3,-0.128,464,475
c,10,-0.091,464,476
c,25,-0.396,464,477
o,16,0.015,464,478
c,93,-0.191,464,479
h,3,0.145,464,480
c,10,-0.091,464,481
c,25,-0.137,464,482
c,93,-0.191,464,483
c,10,-0.091,464,484
c,10,0.016,464,485
c,10,0.006,464,486
c,10,-0.091,464,487
o,40,-0.394,464,488
c,25,-0.137,464,489
c,93,-0.084,464,490
c,10,-0.384,491,492
c,10,-0.079,491,493
c,10,-0.384,491,494
c,10,-0.089,491,495
c,26,0.015,491,496
b,40,0.154,491,497
h,3,-0.12,491,498
c,10,-0.082,491,499
c,10,-0.779,491,500
c,10,0.015,491,501
h,3,-0.106,491,502
c,10,-0.384,491,503
h,3,0.146,491,504
c,10,-0.082,491,505
c,10,-0.39,491,506
c,10,-0.083,491,507
b,3,0.149,491,508
h,3,0.141,491,509
c,10,-0.079,491,510
h,3,0.138,491,511
o,40,-0.291,491,512
c,10,-0.384,491,513
c,10,-0.395,491,514
c,10,-0.081,491,515
c,10,0.005,491,516
h,3,0.149,491,517
o,40,-0.398,491,518
h,3,0.142,491,519
c,10,0.006,560,581
c,10,0.006,560,582
c,10,0.006,560,583
c,10,0.006,560,584
c,10,0.006,560,585
c,25,-0.137,560,586
c,41,-0.191,560,587
c,10,0.006,560,588
c,10,0.006,560,589
c,10,0.006,560,590
h,3,0.154,560,591
c,10,0.006,560,592
c,93,-0.137,560,593
c,10,-0.137,560,594
c,10,-0.137,560,595
c,10,0.006,560,596
h,3,0.134,560,597
c,10,0.006,560,598
c,10,-0.137,560,599
c,25,-0.396,560,600
c,42,-0.191,560,601
c,25,-0.137,560,602
c,10,-0.137,560,603
c,10,0.006,560,604
c,10,-0.137,560,605
c,10,-0.137,560,606
h,3,0.112,560,607
c,25,-0.191,560,608
c,25,-0.191,560,609
n,38,-0.134,641,613
n,16,-0.379,641,614
o,16,0.144,641,615
o,40,-0.398,641,616
c,10,-0.38,641,617
c,10,-0.393,641,618
c,10,-0.393,641,619
c,10,-0.089,641,620
c,10,0.03,641,621
n,28,0.332,641,622
n,21,-0.137,641,623
n,52,-0.135,641,624
c,10,0.03,641,642
o,51,0.03,641,643
c,10,-0.076,641,644
c,10,-0.083,641,645
c,10,-0.081,672,646
c,10,-0.091,672,647
h,3,0.166,672,648
o,40,-0.392,672,649
c,10,-0.091,672,650
h,3,0.148,672,651
c,10,-0.083,672,652
c,10,-0.392,672,653
c,10,-0.091,672,654
c,10,0.006,672,655
c,10,0.016,672,656
h,3,0.147,672,657
h,3,0.166,672,658
c,34,-0.084,672,659
h,3,0.166,672,660
h,3,0.008,672,661
c,16,-0.084,672,662
h,3,0.166,672,663
c,10,-0.093,672,664
h,3,0.328,672,665
c,10,-0.091,672,666
c,10,-0.395,672,667
c,10,-0.091,672,668
o,40,0.055,672,669
h,3,0.166,672,670
c,10,-0.089,672,671
c,10,-0.4,672,705
c,10,-0.089,672,706
c,10,-0.081,672,707
c,10,-0.089,672,708
c,10,-0.363,709,726
n,3,0.812,709,727
c,10,-0.395,709,728
o,16,-0.383,709,729
n,38,0.134,709,730
c,10,0.016,709,731
o,40,-0.094,709,732
c,22,-0.119,709,733
c,10,0.015,709,734
c,10,-0.381,709,735
c,10,-0.388,709,736
c,10,-0.376,709,737
c,10,-0.083,709,738
n,92,-0.377,709,739
c,3,-0.397,709,740
o,28,-0.398,709,741
h,3,0.127,796,742
c,34,0.09,796,743
o,40,-0.11,796,744
h,3,0.152,796,745
o,40,-0.11,796,746
h,3,-0.128,796,747
c,34,0.09,796,748
c,34,0.006,796,749
c,10,-0.091,796,750
c,10,-0.091,796,751
c,10,-0.091,796,752
c,10,-0.091,796,753
c,10,-0.091,796,754
c,10,-0.091,796,755
c,10,-0.091,796,756
c,10,-0.091,796,780
c,93,-0.137,796,781
c,93,-0.137,796,783
c,10,-0.091,796,785
o,40,-0.393,796,787
c,10,-0.091,796,789
c,10,-0.091,796,790
c,10,-0.091,796,791
c,10,-0.091,796,792
c,10,-0.091,796,793
c,10,-0.091,796,794
c,10,-0.091,796,795
c,10,-0.091,796,797
c,10,-0.393,855,829
h,3,0.154,855,830
c,10,-0.377,855,831
c,10,-0.081,855,832
c,10,-0.401,855,833
c,10,-0.081,855,834
c,10,-0.081,855,835
c,10,-0.083,855,836
o,40,-0.382,855,837
o,40,-0.39,855,838
c,34,-0.099,855,839
c,10,-0.404,855,840
h,3,0.152,855,841
c,10,-0.401,855,842
c,10,-0.089,855,843
o,40,-0.377,855,844
h,3,0.118,855,845
o,40,-0.377,855,846
h,3,0.152,855,847
c,10,-0.392,855,848
c,10,-0.404,855,849
c,10,-0.392,855,850
c,10,-0.404,855,851
o,40,-0.107,855,852
f,3,0.134,855,853
h,3,-0.12,855,854
c,10,-0.091,865,886
c,10,0.021,865,887
c,10,-0.091,865,888
c,10,-0.137,865,889
c,22,0.136,865,890
h,3,0.13,865,891
o,16,-0.395,865,892
c,10,-0.091,865,893
c,10,-0.091,865,894
c,10,0.006,865,895
c,93,0.006,865,896
c,10,0.006,865,897
o,40,-0.11,865,898
c,10,-0.137,865,899
c,10,-0.091,865,900
c,10,0.006,865,901
o,40,-0.11,865,902
c,27,0.006,865,903
c,10,-0.091,865,904
o,40,0.015,865,905
h,3,-0.119,865,906
c,93,-0.137,865,907
c,10,-0.091,865,908
c,10,0.006,865,909
c,10,-0.091,865,910
c,10,-0.137,865,911
c,93,-0.137,865,912
h,3,0.126,865,913
o,40,0.015,865,914
c,10,-0.091,969,940
c,10,-0.091,969,941
c,10,-0.091,969,942
c,10,-0.091,969,943
c,10,-0.091,969,944
c,10,-0.091,969,945
o,40,0.015,969,946
o,40,-0.379,969,947
c,10,-0.094,969,948
o,40,-0.401,969,949
h,3,0.145,969,950
c,10,-0.091,969,951
c,10,-0.091,969,952
o,40,0.015,969,953
o,40,-0.11,969,954
h,3,0.134,969,955
h,3,0.126,969,956
c,93,-0.137,969,957
o,40,0.011,969,958
c,93,-0.137,969,959
c,93,-0.15,969,960
c,93,0.09,969,961
c,10,0.006,969,962
c,10,0.016,969,963
c,10,-0.091,969,964
c,10,-0.363,969,965
c,10,-0.091,969,966
c,10,-0.091,969,967
c,10,-0.379,969,968
h,3,0.149,993,979
c,10,-0.392,993,980
c,22,-0.111,993,981
h,3,0.135,993,982
o,40,-0.385,993,983
h,3,0.073,993,984
h,3,0.133,993,985
c,10,-0.404,993,986
c,10,-0.386,993,987
c,10,-0.392,993,988
c,10,-0.392,993,989
h,3,0.047,993,990
h,1,0.056,993,991
o,21,-0.385,993,992
c,10,-0.083,993,1026
c,10,-0.091,993,1027
c,10,0.016,993,1028
c,10,-0.392,993,1029
c,10,-0.083,993,1030
o,40,-0.385,993,1031
c,10,-0.418,993,1032
c,10,-0.392,993,1033
c,10,-0.392,993,1034
c,10,-0.083,993,1035
c,10,-0.395,993,1036
c,10,-0.081,993,1037
c,10,-0.173,993,1038
h,3,0.073,993,1039
h,3,0.133,993,1040
o,40,0.046,1056,1041
c,51,-0.108,1056,1042
o,40,-0.392,1056,1043
h,3,0.138,1056,1044
h,3,0.145,1056,1045
h,3,0.141,1056,1046
h,3,0.148,1056,1047
h,3,0.118,1056,1048
c,10,-0.404,1056,1049
c,10,-0.404,1056,1050
c,10,-0.089,1056,1051
c,10,-0.089,1056,1052
c,10,-0.082,1056,1053
c,10,-0.404,1056,1054
c,10,-0.377,1056,1055
c,10,-0.379,1056,1087
c,10,-0.082,1056,1088
c,10,-0.089,1056,1089
c,10,-0.089,1056,1090
c,10,-0.081,1056,1091
c,10,-0.081,1056,1092
h,3,0.152,1056,1093
h,3,0.138,1056,1094
c,10,-0.081,1056,1095
h,3,0.132,1056,1096
h,3,0.152,1056,1097
c,10,-0.404,1056,1098
h,3,0.139,1056,1099
c,10,-0.381,1127,1128
h,3,0.129,1127,1129
c,10,-0.093,1127,1130
c,10,-0.083,1127,1131
c,10,-0.363,1127,1132
c,10,-0.083,1127,1133
c,10,-0.083,1127,1134
c,10,-0.083,1127,1135
h,3,0.134,1127,1136
o,40,0.008,1127,1137
h,1,-0.15,1127,1138
c,10,-0.083,1127,1139
h,3,0.132,1127,1140
c,10,-0.083,1127,1141
c,10,-0.083,1127,1142
h,3,0.133,1127,1143
h,3,0.133,1127,1144
h,3,0.133,1127,1145
h,38,0.15,1127,1146
c,10,-0.395,1127,1147
c,10,-0.4,1127,1148
c,10,-0.083,1127,1149
c,10,-0.083,1127,1150
o,40,-0.137,1127,1151
h,3,0.134,1127,1152
o,40,-0.11,1127,1153
c,10,-0.091,1154,1162
h,3,0.134,1154,1163
c,10,0.006,1154,1164
c,10,-0.091,1154,1165
c,10,-0.389,1154,1166
c,10,0.006,1154,1167
c,93,-0.084,1154,1168
o,40,-0.394,1154,1169
c,10,0.006,1154,1170
c,10,0.006,1154,1171
c,10,-0.076,1154,1172
c,10,-0.094,1154,1173
c,10,0.006,1154,1174
h,3,0.128,1154,1182
o,40,0.818,1154,1183
o,40,-0.403,1154,1184
c,10,-0.091,1154,1187
c,34,0.09,1154,1188
o,40,-0.394,1154,1189
c,10,-0.191,1154,1190
