CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2SinceWeek,Promo2SinceYear,StoreType,Assortment,Promo2,PromoInterval,Store
25126,1,0,20,2010,d,a,1,"Mar,Jun,Sept,Dec",28
11515,6,2013,0,0,d,c,0,,49
1080,9,2007,0,0,a,a,0,,50
2763,0,0,34,2014,a,a,1,"Jan,Apr,Jul,Oct",98
2143,0,0,43,2009,c,a,1,"Feb,May,Aug,Nov",121
66557,0,0,10,2011,a,a,1,"Jan,Apr,Jul,Oct",149
2778,0,0,0,0,a,a,0,,150
2709,9,2009,0,0,a,c,0,,151
271,11,2009,0,0,a,a,0,,187
152,0,0,20,2015,a,a,1,"Jan,Apr,Jul,Oct",201
561,7,2007,14,2011,a,a,1,"Jan,Apr,Jul,Oct",246
2546,11,2009,0,0,a,c,0,,270
2311,12,2012,35,2014,a,a,1,"Jan,Apr,Jul,Oct",312
16886,11,2007,0,0,d,c,0,,349
2674,9,2010,17,2012,a,a,1,"Mar,Jun,Sept,Dec",384
5031,11,0,0,0,a,a,0,,399
793,9,2001,40,2009,a,a,1,"Feb,May,Aug,Nov",446
191,4,2011,18,2011,a,c,1,"Jan,Apr,Jul,Oct",455
1666,0,0,0,0,a,c,0,,501
2136,0,0,47,2009,a,c,1,"Feb,May,Aug,Nov",549
1033,1,2009,12,2010,a,a,1,"Jan,Apr,Jul,Oct",596
1534,12,2009,0,0,a,a,0,,597
1587,9,2011,0,0,a,c,0,,645
8612,9,2013,0,0,c,c,0,,662
992,0,0,12,2013,a,c,1,"Feb,May,Aug,Nov",711
1212,0,0,0,0,a,a,0,,745
2715,4,2009,0,0,a,a,0,,746
8578,9,2009,36,2009,a,a,1,"Jan,Apr,Jul,Oct",791
1769,4,2012,31,2009,a,c,1,"Jan,Apr,Jul,Oct",814
462,0,0,0,0,d,c,0,,858
2638,10,2012,37,2012,a,c,1,"Feb,May,Aug,Nov",897
2100,7,2011,17,2012,a,a,1,"Jan,Apr,Jul,Oct",943
14322,0,0,40,2009,a,c,1,"Feb,May,Aug,Nov",978
141,12,2005,5,2013,c,a,1,"Jan,Apr,Jul,Oct",1018
16043,0,0,14,2011,a,c,1,"Mar,Jun,Sept,Dec",1042
3195,10,2004,26,2011,d,c,1,"Jan,Apr,Jul,Oct",1083
1642,0,0,40,2014,d,c,1,"Jan,Apr,Jul,Oct",1101
5312,9,2008,10,2011,d,c,1,"Mar,Jun,Sept,Dec",1159
1835,11,2009,0,0,a,a,0,,1215
18361,11,2005,14,2011,d,c,1,"Mar,Jun,Sept,Dec",1240
2141,9,2010,0,0,c,c,0,,1288
1208,11,2010,15,2015,a,a,1,"Feb,May,Aug,Nov",1310
18807,0,0,0,0,d,c,0,,1386
118,0,0,40,2013,a,a,1,"Feb,May,Aug,Nov",1415
1108,6,2013,15,2011,a,a,1,"Feb,May,Aug,Nov",1470
7711,0,0,40,2011,a,a,1,"Jan,Apr,Jul,Oct",1485
353,0,0,39,2010,d,a,1,"Mar,Jun,Sept,Dec",1532
337,11,2013,0,0,c,a,0,,1556
443,11,2009,0,0,a,a,0,,1584
4245,4,2012,0,0,a,a,0,,1594
1109,10,2011,0,0,b,c,0,,1646
210,7,2012,13,2013,d,a,1,"Jan,Apr,Jul,Oct",1724
126,0,0,22,2013,a,c,1,"Mar,Jun,Sept,Dec",1747
20879,0,0,0,0,d,a,0,,1790
183,0,0,13,2013,d,c,1,"Feb,May,Aug,Nov",1865
6541,0,0,33,2012,a,a,1,"Jan,Apr,Jul,Oct",1894
1775,7,2004,14,2011,c,c,1,"Jan,Apr,Jul,Oct",1953
6815,0,0,0,2013,d,c,1,"Feb,May,Aug,Nov",1994
2257,0,0,35,2010,d,a,1,"Jan,Apr,Jul,Oct",2048
148,10,2002,0,0,a,c,0,,2090
5633,1,2012,37,2009,d,a,1,"Jan,Apr,Jul,Oct",2155
3221,2,2013,0,0,a,c,0,,2200
971,7,2007,21,2011,a,a,1,"Jan,Apr,Jul,Oct",2266
6163,0,0,0,0,a,c,0,,2319
377,0,0,0,0,a,a,0,,2320
15764,0,0,0,0,a,c,0,,2360
1136,9,2010,40,2009,a,a,1,"Mar,Jun,Sept,Dec",2418
6128,7,2003,0,0,c,c,0,,2431
2541,9,2007,30,2011,d,c,1,"Jan,Apr,Jul,Oct",2506
1145,4,2014,29,2013,d,a,1,"Mar,Jun,Sept,Dec",2533
707,4,2004,0,0,a,a,0,,2566
1069,5,2011,14,2010,a,c,1,"Jan,Apr,Jul,Oct",2579
124,9,2012,0,0,a,a,0,,2616
10199,11,2013,39,2009,d,c,1,"Jan,Apr,Jul,Oct",2655
2344,4,2009,0,0,c,c,0,,2703
33431,0,0,0,0,c,c,0,,2738
6226,0,0,0,0,a,c,0,,2812
837,2,2009,13,2011,a,a,1,"Feb,May,Aug,Nov",2861
8260,9,2010,0,0,d,c,0,,2877
5354,9,2013,0,0,d,c,0,,2918
1409,0,0,0,0,a,a,0,,2960
2821,9,2011,14,2011,a,c,1,"Jan,Apr,Jul,Oct",2961
1427,4,2013,14,2013,a,a,1,"Jan,Apr,Jul,Oct",2962
627,0,0,0,0,d,c,0,,2963
5604,4,2006,14,2011,a,c,1,"Feb,May,Aug,Nov",2989
2820,2,2009,0,0,a,a,0,,3057
1813,12,2013,10,2010,a,a,1,"Jan,Apr,Jul,Oct",3099
1777,0,0,47,2009,a,a,1,"Jan,Apr,Jul,Oct",3111
6588,10,2011,14,2009,a,c,1,"Jan,Apr,Jul,Oct",3152
14950,0,0,11,2013,a,c,1,"Jan,Apr,Jul,Oct",3182
7632,0,0,0,0,c,c,0,,3210
43097,11,2007,0,0,d,c,0,,3234
7031,3,2010,40,2014,d,c,1,"Jan,Apr,Jul,Oct",3304
137,0,0,0,0,a,a,0,,3344
4860,0,0,0,0,a,a,0,,3386
2034,0,0,14,2013,a,c,1,"Feb,May,Aug,Nov",3422
239,8,2009,0,0,a,c,0,,3491
7519,9,2010,0,0,a,a,0,,3536
6938,7,2014,0,0,c,a,0,,3579
11593,3,2005,43,2014,d,c,1,"Jan,Apr,Jul,Oct",3628
7290,0,0,16,2012,d,c,1,"Jan,Apr,Jul,Oct",3658
235,7,2013,40,2010,a,c,1,"Feb,May,Aug,Nov",3716
56,10,2013,0,2013,d,c,1,"Feb,May,Aug,Nov",3750
1137,0,0,21,2012,a,a,1,"Feb,May,Aug,Nov",3751
7938,10,2003,3,2013,d,c,1,"Feb,May,Aug,Nov",3767
9891,6,2011,40,2009,a,c,1,"Jan,Apr,Jul,Oct",3801
6154,11,2003,0,0,c,c,0,,3802
10240,9,2009,26,2013,d,c,1,"Mar,Jun,Sept,Dec",3843
690,2,2010,14,2011,a,a,1,"Jan,Apr,Jul,Oct",3899
3696,0,0,0,0,d,c,0,,3916
186,3,458,14,2011,c,a,1,"Jan,Apr,Jul,Oct",3981
10718,12,2011,0,0,d,c,0,,4014
1083,12,2002,0,0,a,a,0,,4048
63347,3,2006,0,0,a,c,0,,4077
10650,4,2012,0,0,d,a,0,,4098
1075,4,2005,0,0,c,a,0,,4099
2192,4,2008,0,0,a,c,0,,4130
6051,4,2007,16,2011,c,c,1,"Jan,Apr,Jul,Oct",4177
1805,9,2011,11,2013,d,c,1,"Feb,May,Aug,Nov",4213
5417,5,2004,0,0,d,c,0,,4262
3972,0,0,0,0,a,a,0,,4330
418,0,0,29,2014,a,a,1,"Jan,Apr,Jul,Oct",4379
5906,5,2011,14,2012,c,c,1,"Mar,Jun,Sept,Dec",4394
17797,4,2010,0,0,d,c,0,,4426
16924,4,2007,0,0,a,c,0,,4444
1188,0,0,14,2010,a,a,1,"Jan,Apr,Jul,Oct",4534
525,11,2013,18,2013,c,c,1,"Feb,May,Aug,Nov",4551
2325,4,2008,31,2009,d,a,1,"Jan,Apr,Jul,Oct",4597
2019,0,0,0,0,d,c,0,,4672
566,11,2013,40,2010,d,c,1,"Mar,Jun,Sept,Dec",4702
177,6,2008,18,2012,a,a,1,"Mar,Jun,Sept,Dec",4772
157,4,2011,0,0,a,a,0,,4787
2217,4,2014,14,2015,a,a,1,"Jan,Apr,Jul,Oct",4788
3190,0,0,0,0,a,c,0,,4801
211,4,2008,0,0,a,a,0,,4838
3312,12,2013,14,2015,d,c,1,"Jan,Apr,Jul,Oct",4848
9263,11,2011,12,2013,d,c,1,"Jan,Apr,Jul,Oct",4888
634,8,2012,24,2010,d,c,1,"Jan,Apr,Jul,Oct",4921
16264,7,2011,10,2011,a,a,1,"Feb,May,Aug,Nov",4938
218,9,2011,13,2011,a,a,1,"Feb,May,Aug,Nov",4945
22466,12,2007,10,2011,d,a,1,"Mar,Jun,Sept,Dec",4997
2600,4,2014,0,0,d,c,0,,5037
1462,11,2003,16,2011,a,a,1,"Jan,Apr,Jul,Oct",5053
9633,0,0,40,2011,a,c,1,"Mar,Jun,Sept,Dec",5117
355,0,0,47,2009,c,a,1,"Feb,May,Aug,Nov",5171
17183,9,2010,0,0,a,a,0,,5185
3513,0,0,25,2012,d,c,1,"Mar,Jun,Sept,Dec",5220
5718,4,2013,0,0,a,a,0,,5235
13373,11,2010,0,0,c,c,0,,5236
390,2,2013,0,0,a,a,0,,5274
707,11,2007,11,2013,d,c,1,"Feb,May,Aug,Nov",5286
4481,0,0,0,0,a,c,0,,5321
9235,7,1842,18,2011,a,a,1,"Jan,Apr,Jul,Oct",5336
2130,4,2003,19,2012,a,a,1,"Jan,Apr,Jul,Oct",5361
646,0,0,13,2011,d,a,1,"Feb,May,Aug,Nov",5387
3690,0,0,36,2012,d,c,1,"Mar,Jun,Sept,Dec",5482
3868,9,2013,0,0,d,a,0,,5531
7532,8,2002,0,0,a,c,0,,5539
17065,8,2010,48,2009,a,c,1,"Mar,Jun,Sept,Dec",5582
97,9,2009,11,2013,a,a,1,"Mar,Jun,Sept,Dec",5629
1282,7,2003,14,2015,a,c,1,"Feb,May,Aug,Nov",5663
2449,9,2013,0,0,c,c,0,,5681
1923,10,0,0,0,d,c,0,,5730
1156,12,2009,36,2009,a,a,1,"Jan,Apr,Jul,Oct",5775
2429,0,0,35,2009,a,a,1,"Feb,May,Aug,Nov",5780
117,4,2015,0,0,a,a,0,,5812
250,4,2014,0,0,a,a,0,,5830
6096,5,2013,0,0,a,c,0,,5872
676,0,0,0,0,a,c,0,,5924
4662,0,0,0,0,d,a,0,,5929
2191,5,2010,14,2012,a,a,1,"Jan,Apr,Jul,Oct",5939
729,0,0,21,2014,a,a,1,"Jan,Apr,Jul,Oct",6026
470,5,2014,9,2014,a,a,1,"Mar,Jun,Sept,Dec",6035
1646,4,2012,40,2009,a,a,1,"Jan,Apr,Jul,Oct",6118
4874,0,0,0,0,a,c,0,,6129
21889,11,2007,0,0,d,c,0,,6206
229,8,2010,36,2010,c,c,1,"Jan,Apr,Jul,Oct",6268
8092,9,2011,0,0,d,a,0,,6310
13418,0,0,0,0,d,c,0,,6357
12631,0,0,38,2009,a,c,1,"Jan,Apr,Jul,Oct",6374
754,6,2008,30,2012,d,a,1,"Mar,Jun,Sept,Dec",6437
1549,7,2013,43,2014,c,a,1,"Jan,Apr,Jul,Oct",6513
3095,8,2009,11,2012,a,a,1,"Feb,May,Aug,Nov",6518
16968,0,0,35,2014,d,c,1,"Jan,Apr,Jul,Oct",6563
81,0,0,38,2010,c,c,1,"Feb,May,Aug,Nov",6592
357,3,2013,0,0,c,a,0,,6663
6246,9,2014,0,0,d,c,0,,6691
