atom_id,molecule_id,element,type,charge
a,a,c,22,-0.08
b,a,h,40,-0.314
c,a,h,3,0.518
d,a,c,3,0.099
e,a,o,40,-0.294
f,a,h,3,-0.08
g,a,h,40,0.294
h,a,n,27,-0.119
i,a,h,3,0.304
j,a,h,27,-0.213
k,a,c,22,-0.662
l,a,c,22,0.07
m,a,h,3,-0.185
n,a,c,22,0.528
o,a,c,22,0.014
p,a,o,27,-0.557
q,a,c,3,0.222
r,a,h,40,-0.019
s,a,c,22,0.066
t,a,n,29,0.157
u,a,h,40,-0.591
v,a,h,22,0.122
w,a,c,3,0.705
x,b,h,3,-0.159
y,b,c,22,-0.029
z,b,c,3,0.378
A,b,h,3,0.549
B,b,c,22,-0.242
C,b,c,22,-0.167
D,b,h,3,-0.132
E,b,h,10,-0.393
F,b,c,3,-0.119
G,b,c,22,0.202
H,b,c,22,-0.081
I,b,c,3,-0.167
J,b,c,22,0.307
K,b,c,22,0.081
L,b,h,3,0.116
M,b,o,3,-0.087
N,b,h,3,0.06
O,b,c,22,0.365
P,b,c,27,-0.088
Q,b,c,3,0.168
R,b,h,38,-0.186
S,b,c,3,0.069
T,b,h,40,0.089
U,b,h,3,-0.102
V,b,c,22,0.008
W,b,c,3,0.119
X,b,c,22,-0.158
Y,b,h,3,0.227
Z,b,h,3,0.161
aa,b,h,40,0.084
ab,b,h,22,0.011
ac,b,h,3,0.087
ad,b,n,3,-0.145
ae,c,h,3,0.032
af,c,c,22,0.303
ag,c,o,40,0.316
ah,c,c,22,0.569
ai,c,h,40,0.203
aj,c,c,22,0.062
ak,c,h,22,-0.283
al,c,c,3,0.485
am,c,h,40,0.32
an,c,h,3,-0.28
ao,c,o,22,-0.403
ap,c,c,3,0.052
aq,c,i,40,-0.186
ar,c,c,3,0.095
as,c,c,3,0.208
at,c,c,22,-0.049
au,c,h,3,-0.179
av,c,h,22,0.11
aw,c,c,22,-0.088
ax,c,c,3,0.19
ay,c,i,38,-0.203
az,d,h,22,0.073
aA,d,o,22,0.129
aB,d,c,3,0.112
aC,d,c,3,-0.206
aD,d,c,3,-0.014
aE,d,h,3,0.072
aF,d,h,22,-0.081
aG,d,c,40,-0.235
aH,d,c,40,-0.518
aI,d,c,3,-0.194
aJ,d,h,3,-0.009
aK,d,c,40,-0.246
aL,d,h,22,0.082
aM,d,h,3,0.13
aN,d,c,3,0.194
aO,d,c,3,0.025
aP,d,h,22,0.029
aQ,d,c,3,-0.104
aR,d,h,22,0.019
aS,d,c,3,-0.075
aT,d,c,40,-0.138
aU,d,c,27,-0.257
aV,d,h,22,0.207
aW,d,h,22,0.213
aX,d,c,3,-0.084
aY,d,c,3,-0.085
aZ,d,c,10,-0.013
ba,d,c,40,0.004
bb,d,c,3,0.0
bc,d,c,3,0.147
bd,d,h,3,0.191
be,d,c,40,-0.109
bf,d,o,22,0.385
bg,e,n,3,-0.036
bh,e,c,38,0.102
bi,e,h,3,-0.119
bj,e,c,27,0.396
bk,e,c,194,-0.015
bl,e,h,22,0.203
bm,e,n,3,-0.081
bn,e,c,22,0.114
bo,e,h,22,0.412
bp,e,c,3,-0.042
bq,e,h,40,0.274
br,e,h,3,-0.21
bs,e,c,3,0.124
bt,e,n,22,-0.082
bu,e,h,3,0.634
bv,e,c,28,0.132
bw,e,n,22,0.294
bx,e,c,40,0.162
by,e,h,42,-0.436
bz,e,h,3,-0.061
bA,e,h,38,-0.423
bB,e,c,38,0.111
bC,e,h,22,0.651
bD,e,c,3,-0.462
bE,e,c,3,0.311
bF,e,h,10,0.103
bG,e,c,3,0.051
bH,e,h,40,0.602
bI,e,o,22,0.006
bJ,e,c,3,0.646
bK,e,o,3,-0.137
bL,e,h,40,-0.251
bM,e,h,40,0.242
bN,e,c,40,0.241
bO,e,c,3,0.172
bP,f,i,3,-0.532
bQ,f,o,40,-0.284
bR,f,h,3,0.197
bS,f,n,42,0.058
bT,f,c,3,0.402
bU,f,h,3,-0.169
bV,f,c,22,-0.032
bW,f,h,40,-0.004
bX,f,c,3,0.131
bY,f,h,3,-0.147
bZ,f,h,3,-0.07
ca,f,o,3,0.879
cb,f,c,3,-0.359
cc,f,h,3,-0.781
cd,f,c,3,0.494
ce,f,h,3,0.156
cf,f,h,3,0.971
cg,f,o,38,-0.312
ch,f,c,3,-0.115
ci,g,h,3,0.148
cj,g,c,22,-0.19
ck,g,c,3,0.023
cl,g,c,3,0.552
cm,g,c,3,0.192
cn,g,n,40,0.234
co,g,c,42,0.175
cp,g,c,42,-0.482
cq,g,c,29,-0.327
cr,g,c,38,-0.189
cs,g,c,3,-0.196
ct,g,i,3,-0.149
cu,g,h,40,-0.079
cv,g,h,32,0.032
cw,g,h,38,0.476
cx,g,o,40,-0.778
cy,g,i,22,0.217
cz,g,c,3,-0.087
cA,g,c,22,0.59
cB,g,c,1,-0.028
cC,g,o,22,0.347
cD,g,c,42,-0.274
cE,g,c,38,0.173
cF,h,c,42,0.366
cG,h,c,29,-0.519
cH,h,c,3,0.175
cI,h,c,42,-0.079
cJ,h,c,10,-0.143
cK,h,c,42,0.166
cL,h,c,26,-0.018
cM,h,h,3,-0.179
cN,h,c,42,-0.067
cO,h,h,3,0.432
cP,h,h,3,-0.062
cQ,h,h,40,-0.173
cR,h,c,40,-0.232
cS,h,c,3,-0.009
cT,h,n,3,0.354
cU,h,c,26,0.15
cV,h,c,3,-0.003
cW,h,h,3,-0.673
cX,h,c,40,-0.499
