bond_id,atom1_id,atom2_id,type
0,a,aev,3
1,c,QE,1
2,c,aCe,1
3,d,afy,1
4,e,aup,7
5,f,XP,1
6,g,aHh,1
7,g,avZ,1
8,i,amR,7
9,i,aLs,7
10,l,aIa,7
11,m,ZC,7
12,n,aqu,7
13,n,aKZ,1
14,o,aFk,7
15,q,tI,1
16,q,uV,1
17,r,abQ,7
18,s,afA,1
19,t,GJ,1
20,t,aAC,3
21,v,akM,1
22,w,aKZ,1
23,w,TU,1
24,x,aON,1
25,y,Xq,1
26,z,aKP,1
27,z,akN,1
28,A,aNh,7
29,A,N,7
30,A,aeA,1
31,B,Ia,7
32,C,Uu,7
33,D,ej,1
34,F,LU,7
35,G,amZ,1
36,G,Um,1
37,H,ZS,1
38,I,tR,1
39,J,co,1
40,J,OO,3
41,J,aoH,1
42,K,aeo,1
43,K,Vb,7
44,L,Xj,1
45,M,als,1
46,N,qY,1
47,O,atZ,7
48,O,alh,7
49,O,vA,1
50,P,aGb,7
51,Q,iF,7
52,Q,nT,7
53,S,DS,1
54,T,aME,1
55,U,Bu,1
56,V,aCA,1
57,W,akF,1
58,X,Ql,7
59,Y,NZ,1
60,Y,auT,7
61,Z,aEK,7
62,aa,Bt,3
63,ab,hS,1
64,ac,HX,1
65,ae,jL,2
66,af,apj,1
67,ag,ads,1
68,ah,ed,3
69,ah,abU,2
70,ah,yK,1
71,ai,ic,1
72,ai,Px,1
73,aj,aNn,1
74,al,aCh,1
75,al,apc,1
76,am,ael,7
77,ap,aAv,1
78,ar,aeM,1
79,as,lh,2
80,at,aNr,1
81,at,LR,7
82,av,awT,7
83,ax,ajN,1
84,ax,aJw,1
85,az,gP,1
86,aA,PK,7
87,aB,CQ,7
88,aB,tV,1
89,aD,dP,1
90,aE,arD,1
91,aE,LQ,1
92,aG,HS,1
93,aJ,aeY,2
94,aJ,iK,7
95,aL,aJI,7
96,aM,CC,1
97,aM,Ok,1
98,aN,ou,1
99,aN,aaG,1
100,aO,aIi,1
101,aO,Aa,1
102,aP,J,7
103,aR,ml,1
104,aS,Yv,7
105,aS,IX,7
106,aV,aJF,7
107,aV,aoW,7
108,aW,avp,1
109,aW,ms,7
110,aX,aht,1
111,aY,aEf,1
112,aZ,WR,1
113,ba,abV,1
114,ba,aGj,7
115,bb,auo,1
116,bb,Wx,1
117,bc,aui,7
118,bc,ZS,1
119,bd,aef,7
120,be,Ol,1
121,bf,aMU,7
122,bf,pb,7
123,bf,ML,7
124,bg,aDs,7
125,bh,YZ,7
126,bi,aCE,1
127,bj,YS,1
128,bj,XL,1
129,bj,afa,1
130,bk,Nt,1
131,bl,Tx,1
132,bm,aux,1
133,bn,Rk,1
134,bn,MC,1
135,bo,uZ,1
136,bo,pP,2
137,bo,MZ,3
138,bp,Fm,1
139,bp,gD,1
140,bq,xR,1
141,bq,awG,1
142,bs,D,1
143,bt,Yz,7
144,bu,hx,1
145,bu,akg,1
146,bv,afz,1
147,bv,yw,1
148,bw,na,1
149,bw,aBE,1
150,bx,aJM,1
151,bz,axE,7
152,bB,hY,7
153,bB,cB,7
154,bC,nu,1
155,bC,o,3
156,bC,HM,7
157,bE,aBw,1
158,bE,kI,2
159,bE,ayM,2
160,bF,iD,1
161,bG,acw,1
162,bH,aiP,1
163,bH,Tk,1
164,bH,avG,1
165,bI,dU,1
166,bJ,agP,1
167,bJ,aoI,1
168,bJ,IT,1
169,bK,OQ,1
170,bM,asf,7
171,bN,NG,1
172,bN,ajj,1
173,bO,Qa,7
174,bO,acC,7
175,bP,aGZ,1
176,bR,vg,1
177,bR,RG,7
178,bT,Am,1
179,bT,aNA,7
180,bU,fV,1
181,bV,abz,1
182,bW,RA,7
183,bX,aGF,1
184,bY,aKa,1
185,bZ,if,1
186,bZ,Br,1
187,ca,ri,3
188,ca,aAb,3
189,ca,GK,3
190,cd,dT,7
191,ce,dc,1
192,ce,Zk,1
193,cf,afZ,1
194,cf,Es,1
195,cf,e,1
196,cf,tT,1
197,ch,arY,1
198,ci,aGD,1
199,cj,Wt,1
200,cj,asG,1
201,ck,lx,1
202,cl,aDz,2
203,cl,JI,2
204,cl,abH,1
205,cm,aHI,7
206,cn,XU,1
207,co,DS,1
208,co,XJ,1
209,cr,lX,1
210,cs,gY,7
211,cs,afO,1
212,ct,BF,7
213,cu,arO,1
214,cw,abf,1
215,cy,aKi,7
216,cy,agb,1
217,cz,anj,1
218,cA,adG,1
219,cA,zE,1
220,cA,FR,3
221,cC,aze,1
222,cC,CF,1
223,cD,aoO,1
224,cE,azH,1
225,cF,EV,1
226,cF,vJ,1
227,cH,ajO,1
228,cH,aey,1
229,cH,jO,2
230,cI,axE,7
