molecule_id,ind1,inda,logp,lumo,mutagenic
a,1,0,3.45,-2.62,yes
b,1,0,3.06,-2.204,yes
c,0,0,3.08,-1.571,no
d,1,0,5.08,-2.434,yes
e,1,0,3.81,-2.814,yes
f,0,0,1.6,-1.298,no
g,0,0,1.49,-1.342,yes
h,0,0,2.31,-2.056,yes
i,0,0,2.21,-1.026,no
j,1,0,3.37,-1.557,no
k,1,0,4.57,-2.589,yes
l,1,0,2.72,-1.506,no
m,1,0,5.12,-2.198,yes
n,0,0,3.04,-2.129,yes
o,1,0,4.25,-0.74,yes
p,1,0,4.54,-1.96,yes
q,1,0,2.93,-1.277,yes
r,1,0,3.41,-1.467,yes
s,0,0,5.76,-1.973,yes
t,0,0,3.09,-2.132,yes
u,1,0,4.71,-2.08,yes
v,0,0,1.39,-1.686,no
w,1,0,2.0,-2.389,yes
x,0,0,3.67,-2.119,yes
y,0,0,3.38,-1.751,yes
z,0,0,3.48,-1.605,no
A,1,0,4.64,-2.014,yes
B,1,0,3.51,-1.555,no
C,0,0,3.38,-1.294,yes
D,0,0,3.51,-0.876,no
E,0,0,2.23,-1.537,no
F,1,0,3.49,-1.475,yes
G,0,0,2.79,-1.582,no
H,1,0,3.25,-2.123,yes
I,1,0,4.89,-2.464,yes
J,1,0,4.42,-1.919,no
K,1,0,3.29,-2.968,yes
L,0,0,3.62,-1.581,yes
M,1,0,3.18,-1.701,yes
N,0,0,1.92,-1.509,no
O,1,0,5.44,-1.732,yes
P,0,0,1.49,-0.744,no
Q,0,0,3.65,-1.515,yes
R,0,0,4.13,-1.183,yes
S,0,0,1.94,-1.519,no
T,0,0,3.63,-1.485,yes
U,1,0,5.88,-3.081,yes
V,1,0,4.2,-1.495,yes
W,1,0,3.27,-3.151,yes
X,1,0,4.01,-1.084,yes
Y,0,0,4.03,-1.313,yes
Z,1,0,5.67,-1.427,no
aa,1,0,5.27,-1.359,yes
ab,1,0,2.95,-1.268,yes
ac,1,0,3.11,-2.178,yes
ad,1,0,3.73,-1.552,yes
ae,1,0,4.36,-1.445,yes
af,0,0,2.02,-1.597,yes
ag,0,0,3.39,-1.771,no
ah,0,0,5.29,-1.655,no
ai,1,0,5.59,-1.763,yes
aj,0,0,0.21,-1.521,no
ak,0,0,2.18,-1.548,no
al,0,0,1.72,-2.927,yes
am,0,0,3.4,-1.604,no
an,1,0,3.23,-1.735,yes
ao,1,0,3.86,-1.311,yes
ap,0,0,2.44,-1.505,yes
aq,0,0,2.52,-1.293,no
ar,1,0,4.07,-2.694,yes
as,1,0,4.26,-2.926,yes
at,1,0,4.42,-2.351,yes
au,0,0,2.33,-1.399,no
av,1,0,3.93,-1.113,yes
aw,0,0,0.37,-1.753,no
ax,1,0,5.57,-2.109,yes
ay,0,0,3.34,-3.106,yes
az,1,0,4.54,-0.529,yes
aA,0,0,1.3,-2.522,yes
aB,1,0,2.35,-3.175,yes
aC,0,0,0.1,-1.233,no
aD,0,0,3.78,-1.931,yes
aE,0,0,-0.02,-1.979,yes
aF,1,0,5.35,-1.602,yes
aG,1,0,3.32,-1.669,yes
aH,1,0,5.88,-1.688,yes
aI,1,0,6.24,-2.5,yes
aJ,0,0,3.16,-1.79,no
aK,1,0,2.84,-2.907,yes
aL,1,0,5.79,-2.48,yes
aM,1,0,3.8,-1.401,yes
aN,1,0,2.18,-0.787,yes
aO,0,0,3.37,-1.951,yes
aP,1,0,4.95,-2.877,yes
aQ,1,0,6.01,-1.374,yes
aR,1,0,3.74,-2.524,yes
aS,0,0,2.94,-2.278,yes
aT,1,0,4.23,-1.587,yes
aU,0,0,3.6,-1.502,yes
aV,0,0,3.08,-0.776,no
aW,1,0,5.68,-1.804,yes
aX,1,0,3.09,-2.458,yes
aY,0,0,3.3,-1.224,yes
aZ,1,0,4.15,-2.524,yes
ba,1,0,6.87,-2.216,yes
bb,0,0,1.09,-0.529,no
bc,1,0,2.82,-2.209,yes
bd,1,0,4.84,-2.424,yes
be,1,0,2.48,-1.466,yes
