Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
a,a,a,0.0,11.0,2011.0,1,36.0,2014.0,"Jan,Apr,Jul,Oct"
b,a,a,0.0,10.0,1998.0,0,0.0,0.0,
c,c,a,0.0,3.0,0.0,1,0.0,0.0,
d,d,c,11199.0,11.0,2008.0,0,14.0,0.0,"Jan,Apr,Jul,Oct"
e,d,c,7478.0,3.0,2014.0,0,0.0,0.0,
f,a,a,5580.0,12.0,2015.0,1,0.0,0.0,
g,b,a,1072.0,0.0,0.0,1,18.0,2015.0,"Feb,May,Aug,Nov"
h,a,c,10986.0,11.0,2012.0,0,0.0,0.0,
i,a,c,9655.0,0.0,0.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
j,a,a,18655.0,3.0,0.0,0,0.0,0.0,
k,a,a,2513.0,3.0,2008.0,0,0.0,0.0,
l,d,a,4528.0,9.0,2011.0,1,0.0,0.0,
m,a,a,0.0,0.0,2013.0,1,5.0,2009.0,"Jan,Apr,Jul,Oct"
n,a,a,2428.0,11.0,2009.0,0,0.0,0.0,
o,a,c,13210.0,7.0,2015.0,0,0.0,0.0,
p,a,a,0.0,4.0,0.0,1,40.0,2013.0,
q,d,c,8310.0,9.0,0.0,0,0.0,0.0,
r,a,c,363.0,9.0,0.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
s,a,a,1666.0,0.0,0.0,1,31.0,2012.0,"Jan,Apr,Jul,Oct"
t,d,c,16331.0,0.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
u,a,a,16815.0,3.0,2009.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
v,a,a,0.0,0.0,2013.0,0,0.0,0.0,
w,a,a,29203.0,1.0,2010.0,0,0.0,0.0,
x,d,a,0.0,7.0,2005.0,1,40.0,2013.0,
y,a,c,0.0,4.0,0.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
z,a,a,0.0,0.0,2013.0,1,10.0,2011.0,"Jan,Apr,Jul,Oct"
A,d,c,0.0,10.0,2008.0,0,10.0,0.0,"Jan,Apr,Jul,Oct"
B,a,c,5449.0,11.0,2012.0,1,45.0,2013.0,"Mar,Jun,Sept,Dec"
C,d,c,15762.0,0.0,2012.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
D,a,a,12840.0,6.0,2010.0,0,0.0,0.0,
E,d,c,4712.0,4.0,2014.0,0,0.0,0.0,
F,d,c,6482.0,0.0,2010.0,1,0.0,2013.0,"Feb,May,Aug,Nov"
G,a,c,0.0,0.0,0.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
H,a,c,14756.0,6.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
I,d,c,0.0,7.0,2005.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
J,c,c,1759.0,11.0,2008.0,1,28.0,2010.0,"Mar,Jun,Sept,Dec"
K,d,a,0.0,4.0,0.0,0,0.0,2011.0,
L,a,c,7382.0,0.0,0.0,1,13.0,2013.0,"Jan,Apr,Jul,Oct"
M,d,b,9469.0,0.0,0.0,0,10.0,2011.0,
N,d,c,4908.0,0.0,2013.0,0,0.0,2013.0,"Jan,Apr,Jul,Oct"
O,d,a,7633.0,7.0,2010.0,1,14.0,2011.0,
P,c,c,309.0,0.0,0.0,0,14.0,2011.0,
Q,a,a,526.0,9.0,2014.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
R,d,c,1923.0,9.0,2012.0,1,35.0,2014.0,"Mar,Jun,Sept,Dec"
S,d,c,0.0,5.0,2012.0,1,40.0,0.0,
T,d,c,14295.0,12.0,1998.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
U,a,c,0.0,4.0,2011.0,0,0.0,0.0,
V,a,a,9170.0,11.0,2010.0,0,0.0,0.0,
W,a,a,6259.0,0.0,0.0,1,31.0,2012.0,
X,d,c,0.0,10.0,2008.0,1,18.0,2009.0,"Feb,May,Aug,Nov"
Y,a,a,16852.0,4.0,2008.0,0,0.0,0.0,
Z,d,a,11167.0,3.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
aa,a,a,10557.0,4.0,2009.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
ab,d,c,20970.0,4.0,0.0,0,0.0,0.0,
ac,a,a,7374.0,9.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
ad,a,c,7217.0,11.0,2013.0,0,1.0,2014.0,
ae,d,c,7183.0,0.0,2014.0,0,0.0,0.0,
af,c,a,0.0,10.0,2009.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
ag,c,a,38.0,6.0,2008.0,0,0.0,0.0,
ah,d,c,5699.0,12.0,2002.0,1,0.0,0.0,
ai,a,c,4291.0,10.0,2009.0,1,40.0,2013.0,
aj,b,a,14284.0,0.0,0.0,1,14.0,0.0,
ak,a,a,7135.0,4.0,2007.0,1,45.0,2013.0,"Jan,Apr,Jul,Oct"
al,a,c,0.0,11.0,0.0,0,14.0,0.0,
am,d,a,8820.0,11.0,2013.0,0,0.0,0.0,
an,d,c,11958.0,0.0,2013.0,0,0.0,0.0,
ao,a,c,8772.0,11.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
